Pin_id      Pad_id_x_5  Pad_id_y_5  Pad_id_x_6  Pad_id_y_6  
0           2           63          3           31          
1           0           63          1           31          
2           3           63          2           31          
3           1           63          0           31          
4           2           62          3           30          
5           0           62          1           30          
6           3           62          2           30          
7           1           62          0           30          
8           2           61          3           29          
9           0           61          1           29          
10          3           61          2           29          
11          1           61          0           29          
12          2           60          3           28          
13          0           60          1           28          
14          3           60          2           28          
15          1           60          0           28          
16          2           59          3           27          
17          0           59          1           27          
18          3           59          2           27          
19          1           59          0           27          
20          2           58          3           26          
21          0           58          1           26          
22          3           58          2           26          
23          1           58          0           26          
24          2           57          3           25          
25          0           57          1           25          
26          3           57          2           25          
27          1           57          0           25          
28          2           56          3           24          
29          0           56          1           24          
30          3           56          2           24          
31          1           56          0           24          
32          2           55          3           23          
33          0           55          1           23          
34          3           55          2           23          
35          1           55          0           23          
36          2           54          3           22          
37          0           54          1           22          
38          3           54          2           22          
39          1           54          0           22          
40          2           53          3           21          
41          0           53          1           21          
42          3           53          2           21          
43          1           53          0           21          
44          2           52          3           20          
45          0           52          1           20          
46          3           52          2           20          
47          1           52          0           20          
48          2           51          3           19          
49          0           51          1           19          
50          3           51          2           19          
51          1           51          0           19          
52          2           50          3           18          
53          0           50          1           18          
54          3           50          2           18          
55          1           50          0           18          
56          2           49          3           17          
57          0           49          1           17          
58          3           49          2           17          
59          1           49          0           17          
60          2           48          3           16          
61          0           48          1           16          
62          3           48          2           16          
63          1           48          0           16          
64          2           47          3           15          
65          0           47          1           15          
66          3           47          2           15          
67          1           47          0           15          
68          2           46          3           14          
69          0           46          1           14          
70          3           46          2           14          
71          1           46          0           14          
72          2           45          3           13          
73          0           45          1           13          
74          3           45          2           13          
75          1           45          0           13          
76          2           44          3           12          
77          0           44          1           12          
78          3           44          2           12          
79          1           44          0           12          
80          2           43          3           11          
81          0           43          1           11          
82          3           43          2           11          
83          1           43          0           11          
84          2           42          3           10          
85          0           42          1           10          
86          3           42          2           10          
87          1           42          0           10          
88          2           41          3           9           
89          0           41          1           9           
90          3           41          2           9           
91          1           41          0           9           
92          2           40          3           8           
93          0           40          1           8           
94          3           40          2           8           
95          1           40          0           8           
96          2           39          3           7           
97          0           39          1           7           
98          3           39          2           7           
99          1           39          0           7           
100         2           38          3           6           
101         0           38          1           6           
102         3           38          2           6           
103         1           38          0           6           
104         2           37          3           5           
105         0           37          1           5           
106         3           37          2           5           
107         1           37          0           5           
108         2           36          3           4           
109         0           36          1           4           
110         3           36          2           4           
111         1           36          0           4           
112         2           35          3           3           
113         0           35          1           3           
114         3           35          2           3           
115         1           35          0           3           
116         2           34          3           2           
117         0           34          1           2           
118         3           34          2           2           
119         1           34          0           2           
120         2           33          3           1           
121         0           33          1           1           
122         3           33          2           1           
123         1           33          0           1           
124         2           32          3           0           
125         0           32          1           0           
126         3           32          2           0           
127         1           32          0           0           
