Pin_id      Pad_id_x_5  Pad_id_y_5  Pad_id_x_6  Pad_id_y_6  
0           32          1           0           0           
1           32          3           0           2           
2           32          0           0           1           
3           32          2           0           3           
4           33          1           1           0           
5           33          3           1           2           
6           33          0           1           1           
7           33          2           1           3           
8           34          1           2           0           
9           34          3           2           2           
10          34          0           2           1           
11          34          2           2           3           
12          35          1           3           0           
13          35          3           3           2           
14          35          0           3           1           
15          35          2           3           3           
16          36          1           4           0           
17          36          3           4           2           
18          36          0           4           1           
19          36          2           4           3           
20          37          1           5           0           
21          37          3           5           2           
22          37          0           5           1           
23          37          2           5           3           
24          38          1           6           0           
25          38          3           6           2           
26          38          0           6           1           
27          38          2           6           3           
28          39          1           7           0           
29          39          3           7           2           
30          39          0           7           1           
31          39          2           7           3           
32          40          1           8           0           
33          40          3           8           2           
34          40          0           8           1           
35          40          2           8           3           
36          41          1           9           0           
37          41          3           9           2           
38          41          0           9           1           
39          41          2           9           3           
40          42          1           10          0           
41          42          3           10          2           
42          42          0           10          1           
43          42          2           10          3           
44          43          1           11          0           
45          43          3           11          2           
46          43          0           11          1           
47          43          2           11          3           
48          44          1           12          0           
49          44          3           12          2           
50          44          0           12          1           
51          44          2           12          3           
52          45          1           13          0           
53          45          3           13          2           
54          45          0           13          1           
55          45          2           13          3           
56          46          1           14          0           
57          46          3           14          2           
58          46          0           14          1           
59          46          2           14          3           
60          47          1           15          0           
61          47          3           15          2           
62          47          0           15          1           
63          47          2           15          3           
64          48          1           16          0           
65          48          3           16          2           
66          48          0           16          1           
67          48          2           16          3           
68          49          1           17          0           
69          49          3           17          2           
70          49          0           17          1           
71          49          2           17          3           
72          50          1           18          0           
73          50          3           18          2           
74          50          0           18          1           
75          50          2           18          3           
76          51          1           19          0           
77          51          3           19          2           
78          51          0           19          1           
79          51          2           19          3           
80          52          1           20          0           
81          52          3           20          2           
82          52          0           20          1           
83          52          2           20          3           
84          53          1           21          0           
85          53          3           21          2           
86          53          0           21          1           
87          53          2           21          3           
88          54          1           22          0           
89          54          3           22          2           
90          54          0           22          1           
91          54          2           22          3           
92          55          1           23          0           
93          55          3           23          2           
94          55          0           23          1           
95          55          2           23          3           
96          56          1           24          0           
97          56          3           24          2           
98          56          0           24          1           
99          56          2           24          3           
100         57          1           25          0           
101         57          3           25          2           
102         57          0           25          1           
103         57          2           25          3           
104         58          1           26          0           
105         58          3           26          2           
106         58          0           26          1           
107         58          2           26          3           
108         59          1           27          0           
109         59          3           27          2           
110         59          0           27          1           
111         59          2           27          3           
112         60          1           28          0           
113         60          3           28          2           
114         60          0           28          1           
115         60          2           28          3           
116         61          1           29          0           
117         61          3           29          2           
118         61          0           29          1           
119         61          2           29          3           
120         62          1           30          0           
121         62          3           30          2           
122         62          0           30          1           
123         62          2           30          3           
124         63          1           31          0           
125         63          3           31          2           
126         63          0           31          1           
127         63          2           31          3           
