Pin_id      Pad_id_x_5  Pad_id_y_5  Pad_id_x_6  Pad_id_y_6  
0           63          2           31          3           
1           63          0           31          1           
2           63          3           31          2           
3           63          1           31          0           
4           62          2           30          3           
5           62          0           30          1           
6           62          3           30          2           
7           62          1           30          0           
8           61          2           29          3           
9           61          0           29          1           
10          61          3           29          2           
11          61          1           29          0           
12          60          2           28          3           
13          60          0           28          1           
14          60          3           28          2           
15          60          1           28          0           
16          59          2           27          3           
17          59          0           27          1           
18          59          3           27          2           
19          59          1           27          0           
20          58          2           26          3           
21          58          0           26          1           
22          58          3           26          2           
23          58          1           26          0           
24          57          2           25          3           
25          57          0           25          1           
26          57          3           25          2           
27          57          1           25          0           
28          56          2           24          3           
29          56          0           24          1           
30          56          3           24          2           
31          56          1           24          0           
32          55          2           23          3           
33          55          0           23          1           
34          55          3           23          2           
35          55          1           23          0           
36          54          2           22          3           
37          54          0           22          1           
38          54          3           22          2           
39          54          1           22          0           
40          53          2           21          3           
41          53          0           21          1           
42          53          3           21          2           
43          53          1           21          0           
44          52          2           20          3           
45          52          0           20          1           
46          52          3           20          2           
47          52          1           20          0           
48          51          2           19          3           
49          51          0           19          1           
50          51          3           19          2           
51          51          1           19          0           
52          50          2           18          3           
53          50          0           18          1           
54          50          3           18          2           
55          50          1           18          0           
56          49          2           17          3           
57          49          0           17          1           
58          49          3           17          2           
59          49          1           17          0           
60          48          2           16          3           
61          48          0           16          1           
62          48          3           16          2           
63          48          1           16          0           
64          47          2           15          3           
65          47          0           15          1           
66          47          3           15          2           
67          47          1           15          0           
68          46          2           14          3           
69          46          0           14          1           
70          46          3           14          2           
71          46          1           14          0           
72          45          2           13          3           
73          45          0           13          1           
74          45          3           13          2           
75          45          1           13          0           
76          44          2           12          3           
77          44          0           12          1           
78          44          3           12          2           
79          44          1           12          0           
80          43          2           11          3           
81          43          0           11          1           
82          43          3           11          2           
83          43          1           11          0           
84          42          2           10          3           
85          42          0           10          1           
86          42          3           10          2           
87          42          1           10          0           
88          41          2           9           3           
89          41          0           9           1           
90          41          3           9           2           
91          41          1           9           0           
92          40          2           8           3           
93          40          0           8           1           
94          40          3           8           2           
95          40          1           8           0           
96          39          2           7           3           
97          39          0           7           1           
98          39          3           7           2           
99          39          1           7           0           
100         38          2           6           3           
101         38          0           6           1           
102         38          3           6           2           
103         38          1           6           0           
104         37          2           5           3           
105         37          0           5           1           
106         37          3           5           2           
107         37          1           5           0           
108         36          2           4           3           
109         36          0           4           1           
110         36          3           4           2           
111         36          1           4           0           
112         35          2           3           3           
113         35          0           3           1           
114         35          3           3           2           
115         35          1           3           0           
116         34          2           2           3           
117         34          0           2           1           
118         34          3           2           2           
119         34          1           2           0           
120         33          2           1           3           
121         33          0           1           1           
122         33          3           1           2           
123         33          1           1           0           
124         32          2           0           3           
125         32          0           0           1           
126         32          3           0           2           
127         32          1           0           0           
