Pin_id      Pad_id_x_1  Pad_id_y_1  Pad_id_x_2  Pad_id_y_2  Pad_id_x_3  Pad_id_y_3  Pad_id_x_4  Pad_id_y_4  
0           16          20          11          14          9           10          3           3           
1           18          20          13          14          6           10          1           15          
2           15          19          10          14          8           10          3           16          
3           17          8           13          15          5           0           1           14          
4           16          21          11          15          9           9           3           0           
5           18          19          14          24          6           9           1           16          
6           15          20          10          15          8           9           3           15          
7           17          9           13          16          5           1           1           12          
8           16          22          11          16          9           8           3           4           
9           18          22          14          23          6           8           1           13          
10          15          21          10          16          8           8           3           14          
11          17          10          13          17          5           2           1           10          
12          16          23          11          17          9           7           3           1           
13          18          21          14          22          6           7           1           11          
14          15          22          10          17          8           7           3           13          
15          17          11          13          18          5           3           1           8           
16          16          24          11          18          9           6           3           5           
17          18          24          14          21          6           6           1           9           
18          15          23          10          18          8           6           3           12          
19          17          12          13          19          5           4           1           6           
20          16          19          11          13          9           5           3           2           
21          18          23          14          20          6           5           1           7           
22          15          24          10          13          8           5           3           11          
23          17          13          13          20          6           11          1           4           
24          17          23          11          19          9           11          3           6           
25          19          19          13          13          6           4           1           5           
26          15          0           10          20          8           11          3           10          
27          17          14          13          21          5           5           1           2           
28          17          24          11          20          9           4           4           16          
29          19          20          14          19          6           3           1           3           
30          15          1           10          19          8           4           3           9           
31          17          15          13          22          5           6           1           0           
32          17          21          11          21          9           3           4           15          
33          19          21          14          18          6           2           1           1           
34          15          2           -1          -1          8           3           3           8           
35          17          16          13          23          5           7           0           12          
36          17          22          -1          -1          9           2           4           18          
37          19          22          14          17          6           1           0           13          
38          15          3           10          21          8           2           3           7           
39          17          17          13          24          5           8           0           14          
40          17          19          -1          -1          9           1           4           17          
41          19          23          14          16          6           0           0           15          
42          15          4           -1          -1          8           1           3           17          
43          17          18          12          13          5           9           0           16          
44          17          20          -1          -1          9           0           4           14          
45          19          24          14          15          7           11          -1          -1          
46          15          5           -1          -1          8           0           2           1           
47          18          18          12          14          5           10          1           17          
48          16          18          -1          -1          7           0           4           13          
49          19          18          14          14          7           10          0           17          
50          15          6           -1          -1          7           1           2           0           
51          -1          -1          12          15          5           11          0           10          
52          17          6           -1          -1          7           2           4           12          
53          -1          -1          14          13          7           9           0           11          
54          15          7           12          21          7           3           2           3           
55          19          1           12          16          -1          -1          0           8           
56          17          7           12          20          7           4           4           11          
57          19          0           -1          -1          7           8           0           9           
58          15          8           12          19          7           5           2           2           
59          19          3           12          17          -1          -1          0           6           
60          17          4           12          18          7           6           4           10          
61          19          2           14          12          7           7           0           7           
62          15          9           10          12          8           12          2           5           
63          19          5           12          12          6           12          0           4           
64          17          5           11          12          9           12          4           9           
65          19          4           13          12          7           12          0           5           
66          15          10          12          6           7           18          2           4           
67          19          7           12          7           5           12          0           2           
68          17          2           12          5           7           19          4           8           
69          19          6           -1          -1          7           17          0           3           
70          15          11          12          4           7           20          2           7           
71          19          9           12          8           -1          -1          0           0           
72          17          3           12          3           7           21          4           7           
73          19          8           -1          -1          7           16          0           1           
74          15          12          12          2           -1          -1          2           6           
75          19          11          12          9           5           13          -1          -1          
76          17          0           12          1           -1          -1          4           6           
77          19          10          14          11          7           15          -1          -1          
78          15          13          12          0           -1          -1          3           18          
79          19          17          12          10          5           14          0           18          
80          17          1           11          0           -1          -1          4           5           
81          18          17          14          10          7           14          1           18          
82          15          14          10          0           -1          -1          2           20          
83          -1          -1          12          11          5           15          0           24          
84          16          17          11          1           -1          -1          4           4           
85          19          16          14          9           7           13          2           18          
86          15          17          10          1           -1          -1          2           19          
87          19          15          13          0           5           16          0           23          
88          16          7           11          2           9           21          4           3           
89          19          14          14          8           6           24          2           17          
90          15          18          10          2           -1          -1          2           22          
91          19          13          13          1           5           17          0           22          
92          16          8           11          3           -1          -1          4           2           
93          19          12          14          7           6           23          2           16          
94          15          15          10          3           8           21          2           21          
95          18          1           13          2           5           18          0           21          
96          16          9           11          4           9           19          4           1           
97          18          0           14          6           6           22          2           15          
98          15          16          10          4           8           20          2           24          
99          18          3           13          3           5           19          0           20          
100         16          10          11          11          9           20          4           0           
101         18          2           14          5           6           21          2           14          
102         16          6           10          11          8           19          2           23          
103         18          5           13          4           6           13          0           19          
104         16          11          11          5           9           13          4           24          
105         18          4           13          11          6           20          2           13          
106         16          2           10          5           8           13          3           19          
107         18          7           13          5           5           20          1           23          
108         16          12          11          6           9           18          4           23          
109         18          6           14          4           6           19          2           12          
110         16          5           10          6           8           18          3           24          
111         18          9           13          6           5           21          1           24          
112         16          13          11          7           9           17          4           22          
113         18          8           14          3           6           18          2           11          
114         16          1           10          7           8           17          3           23          
115         18          11          13          7           5           22          1           21          
116         16          14          11          8           9           16          4           21          
117         18          10          14          2           6           17          2           10          
118         16          4           10          8           8           16          3           22          
119         18          13          13          8           5           23          1           22          
120         16          15          11          9           9           15          4           20          
121         18          12          14          1           6           16          2           9           
122         16          0           10          9           8           15          3           21          
123         18          16          13          9           5           24          1           19          
124         16          16          11          10          9           14          4           19          
125         18          14          14          0           6           15          2           8           
126         16          3           10          10          8           14          3           20          
127         18          15          13          10          6           14          1           20          
