node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
1,315.0000,545.5960,0.0000,-0.000001,0.000000,0.000007,1.003860,146.5
2,315.0000,545.5960,-0.2000,-0.000000,0.000000,0.000007,1.003860,146.5
3,630.0000,0.0000,0.0000,0.000001,0.000000,-0.000006,1.003860,146.5
4,630.0000,0.0000,-0.2000,0.000001,-0.000000,-0.000006,1.003860,146.5
5,55.0000,95.2628,0.0000,-0.000001,-0.000002,0.000026,1.003860,146.5
6,55.0000,95.2628,-0.2000,-0.000003,-0.000001,0.000026,1.003860,146.5
7,110.0000,0.0000,0.0000,0.000003,-0.000008,-0.000023,1.003860,146.5
8,110.0000,0.0000,-0.2000,0.000004,-0.000008,-0.000023,1.003860,146.5
9,63.0801,99.2580,0.0000,-0.000000,-0.000000,-0.000000,1.003860,146.5
10,117.5000,5.0000,0.0000,0.000000,0.000000,-0.000000,1.003860,146.5
11,617.5000,5.0000,0.0000,-0.000000,-0.000000,0.000000,1.003860,146.5
12,314.0000,533.8640,0.0000,0.000000,0.000000,0.000000,1.003860,146.5
13,301.6450,173.0000,-0.2000,0.000538,-0.000690,0.857270,1.003860,146.5
14,63.0801,99.2580,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
15,117.5000,5.0000,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
16,617.5000,5.0000,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
17,314.0000,533.8640,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
18,63.1803,99.4316,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
19,117.8010,194.0380,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
20,301.6450,173.0000,-0.4000,0.001615,-0.002060,0.857270,1.003860,146.5
21,314.0000,532.6170,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
22,69.9103,101.0880,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
23,122.5000,10.0000,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
24,312.4100,521.1100,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
25,607.5000,10.0000,0.1280,0.000000,0.000000,0.000000,1.003860,146.5
26,69.9103,101.0880,0.0000,0.000000,-0.000000,0.000000,1.003860,146.5
27,122.5000,10.0000,0.0000,-0.000000,0.000000,0.000000,1.003860,146.5
