node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
1,315.0000,545.5960,0.0000,-0.000001,0.000000,0.000004,1.476455,203.7
2,315.0000,545.5960,-0.2000,-0.000002,0.000000,0.000004,1.476455,203.7
3,630.0000,0.0000,0.0000,-0.000004,-0.000003,0.000167,1.476455,203.7
4,630.0000,0.0000,-0.2000,-0.000001,-0.000003,0.000167,1.476455,203.7
5,55.0000,95.2628,0.0000,-0.000022,0.000038,-0.000061,1.476455,203.7
6,55.0000,95.2628,-0.2000,-0.000019,0.000040,-0.000061,1.476455,203.7
7,110.0000,0.0000,0.0000,0.000033,-0.000068,0.000056,1.476455,203.7
8,110.0000,0.0000,-0.2000,0.000031,-0.000071,0.000056,1.476455,203.7
9,63.0801,99.2580,0.0000,0.000004,-0.000002,0.000002,1.476455,203.7
10,117.5000,5.0000,0.0000,0.000001,0.000001,-0.000000,1.476455,203.7
11,617.5000,5.0000,0.0000,0.000000,-0.000000,-0.000001,1.476455,203.7
12,314.0000,533.8640,0.0000,0.000000,0.000000,-0.000000,1.476455,203.7
13,301.6450,173.0000,-0.2000,-0.000547,-0.001023,0.719147,1.476455,203.7
14,63.0801,99.2580,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
15,117.5000,5.0000,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
16,617.5000,5.0000,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
17,314.0000,533.8640,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
18,63.1803,99.4316,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
19,117.8010,194.0380,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
20,301.6450,173.0000,-0.4000,-0.001722,-0.003097,0.719147,1.476455,203.7
21,314.0000,532.6170,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
22,69.9103,101.0880,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
23,122.5000,10.0000,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
24,312.4100,521.1100,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
25,607.5000,10.0000,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
26,69.9103,101.0880,0.0000,0.000006,-0.000006,0.000003,1.476455,203.7
27,122.5000,10.0000,0.0000,0.000001,0.000001,-0.000000,1.476455,203.7
28,607.5000,10.0000,0.0000,-0.000000,-0.000000,-0.000001,1.476455,203.7
29,312.4100,521.1100,0.0000,0.000000,-0.000000,-0.000000,1.476455,203.7
30,117.5000,5.0000,0.6280,0.000000,0.000000,0.000000,1.476455,203.7
31,63.0801,99.6058,0.1280,0.000000,0.000000,0.000000,1.476455,203.7
