node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,-0.345992,-3.841063,0.264492,0.726061,18.1515
2,315.0000,545.5960,-0.2000,-0.345546,-3.835738,0.264496,0.726061,18.1515
3,630.0000,0.0000,0.0000,-3.001149,2.426341,0.023360,0.726061,18.1515
4,630.0000,0.0000,-0.2000,-3.001065,2.425607,0.023425,0.726061,18.1515
5,55.0000,95.2628,0.0000,3.251637,2.422352,0.041224,0.726061,18.1515
6,55.0000,95.2628,-0.2000,3.249711,2.423150,0.040552,0.726061,18.1515
7,110.0000,0.0000,0.0000,2.686996,2.879340,0.016325,0.726061,18.1515
8,110.0000,0.0000,-0.2000,2.686649,2.878782,0.016214,0.726061,18.1515
9,63.0801,99.2580,0.0000,3.390353,2.088548,0.000226,0.726061,18.1515
10,117.5000,5.0000,0.0000,2.568769,3.046905,0.000209,0.726061,18.1515
11,617.5000,5.0000,0.0000,-2.884689,2.750760,0.000021,0.726061,18.1515
12,314.0000,533.8640,0.0000,0.383850,-3.974458,0.003066,0.726061,18.1515
13,301.6450,173.0000,-0.2000,0.441150,3.205144,-0.334149,0.726061,18.1515
14,63.0801,99.2580,0.1280,3.399107,2.086646,0.000000,0.726061,18.1515
15,117.5000,5.0000,0.1280,2.569882,3.050251,0.000000,0.726061,18.1515
16,617.5000,5.0000,0.1280,-2.886029,2.753009,0.000000,0.726061,18.1515
17,314.0000,533.8640,0.1280,0.394615,-3.968922,0.000000,0.726061,18.1515
18,63.1803,99.4316,0.1280,3.399765,2.085577,0.000000,0.726061,18.1515
19,117.8010,194.0380,0.1280,0.610872,2.616400,0.000000,0.726061,18.1515
20,301.6450,173.0000,-0.4000,0.441270,3.206021,-0.334259,0.726061,18.1515
21,314.0000,532.6170,0.1280,0.409374,-3.885215,0.000000,0.726061,18.1515
22,69.9103,101.0880,0.1280,3.023293,2.143458,0.000000,0.726061,18.1515
23,122.5000,10.0000,0.1280,2.458189,3.047431,0.000000,0.726061,18.1515
24,312.4100,521.1100,0.1280,0.488944,-2.573751,0.000000,0.726061,18.1515
25,607.5000,10.0000,0.1280,-2.736513,2.773067,0.000000,0.726061,18.1515
26,69.9103,101.0880,0.0000,3.023468,2.143601,-0.000312,0.726061,18.1515
27,122.5000,10.0000,0.0000,2.458005,3.047379,-0.000077,0.726061,18.1515
28,607.5000,10.0000,0.0000,-2.736533,2.773012,-0.000081,0.726061,18.1515
29,312.4100,521.1100,0.0000,0.488932,-2.573209,-0.000014,0.726061,18.1515
30,117.5000,5.0000,0.6280,2.569870,3.050207,0.000000,0.726061,18.1515
31,63.0801,99.6058,0.1280,3.401002,2.083547,0.000000,0.726061,18.1515
32,63.0801,99.6058,0.6280,3.401002,2.083547,0.000000,0.726061,18.1515
33,617.5000,5.0000,0.6280,-2.886013,2.752981,0.000000,0.726061,18.1515
34,314.0000,532.6170,0.6280,0.409852,-3.848182,0.000000,0.726061,18.1515
35,315.0000,545.5960,-0.1000,-0.345770,-3.838403,0.264493,0.726061,18.1515
36,630.0000,0.0000,-0.1000,-3.001109,2.425974,0.023392,0.726061,18.1515
37,318.9870,538.6900,0.0000,0.014058,-3.360718,0.116464,0.726061,18.1515
38,322.9750,531.7830,0.0000,0.373020,-2.752431,0.049297,0.726061,18.1515
39,326.9620,524.8770,0.0000,0.508691,-2.149700,0.015993,0.726061,18.1515
40,330.9490,517.9710,0.0000,0.513250,-1.658335,0.010293,0.726061,18.1515
41,334.9370,511.0650,0.0000,0.524266,-1.266223,0.007535,0.726061,18.1515
42,338.9240,504.1580,0.0000,0.529044,-0.934086,0.006341,0.726061,18.1515
43,342.9110,497.2520,0.0000,0.528430,-0.647171,0.006312,0.726061,18.1515
44,346.8990,490.3460,0.0000,0.524709,-0.391752,0.005014,0.726061,18.1515
45,350.8860,483.4390,0.0000,0.519591,-0.164181,0.004456,0.726061,18.1515
46,354.8730,476.5330,0.0000,0.512328,0.043952,0.004429,0.726061,18.1515
47,358.8610,469.6270,0.0000,0.504443,0.236189,0.004191,0.726061,18.1515
48,362.8480,462.7210,0.0000,0.497479,0.412820,0.003814,0.726061,18.1515
49,366.8350,455.8140,0.0000,0.490436,0.577875,0.002908,0.726061,18.1515
50,370.8230,448.9080,0.0000,0.484178,0.732209,0.002206,0.726061,18.1515
51,374.8100,442.0020,0.0000,0.478562,0.877574,0.001745,0.726061,18.1515
52,378.7970,435.0960,0.0000,0.473971,1.014566,0.001449,0.726061,18.1515
53,382.7850,428.1890,0.0000,0.470310,1.143948,0.001244,0.726061,18.1515
54,386.7720,421.2830,0.0000,0.467450,1.267069,0.000582,0.726061,18.1515
55,390.7590,414.3770,0.0000,0.465635,1.383636,0.000582,0.726061,18.1515
56,394.7470,407.4700,0.0000,0.464598,1.494779,0.001190,0.726061,18.1515
57,398.7340,400.5640,0.0000,0.464507,1.600653,0.001704,0.726061,18.1515
58,402.7220,393.6580,0.0000,0.465240,1.701650,0.001758,0.726061,18.1515
59,406.7090,386.7520,0.0000,0.466784,1.798091,0.002220,0.726061,18.1515
60,410.6960,379.8450,0.0000,0.469113,1.890117,0.001657,0.726061,18.1515
61,414.6840,372.9390,0.0000,0.472232,1.977716,0.001152,0.726061,18.1515
62,418.6710,366.0330,0.0000,0.475802,2.061247,0.000928,0.726061,18.1515
63,422.6580,359.1260,0.0000,0.479798,2.140833,0.000699,0.726061,18.1515
64,426.6460,352.2200,0.0000,0.484182,2.216535,0.000607,0.726061,18.1515
65,430.6330,345.3140,0.0000,0.488860,2.288451,0.000768,0.726061,18.1515
66,434.6200,338.4080,0.0000,0.493710,2.356439,0.000689,0.726061,18.1515
67,438.6080,331.5010,0.0000,0.498508,2.420673,0.000621,0.726061,18.1515
68,442.5950,324.5950,0.0000,0.503051,2.481318,0.000764,0.726061,18.1515
