node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,tension_margin_Nm
1,315.0000,545.5960,0.0000,1.611367,-4.874057,-0.494772,0.997092,24.9273
2,315.0000,545.5960,-0.2000,1.609991,-4.883601,-0.494708,0.997092,24.9273
3,630.0000,0.0000,0.0000,0.138832,1.501121,0.011487,0.997092,24.9273
4,630.0000,0.0000,-0.2000,0.139516,1.501994,0.011369,0.997092,24.9273
5,55.0000,95.2628,0.0000,1.870934,-0.537830,-0.091822,0.997092,24.9273
6,55.0000,95.2628,-0.2000,1.876171,-0.540318,-0.090322,0.997092,24.9273
7,110.0000,0.0000,0.0000,-0.018313,0.938102,-0.056542,0.997092,24.9273
8,110.0000,0.0000,-0.2000,-0.015971,0.938891,-0.056416,0.997092,24.9273
9,63.0801,99.2580,0.0000,1.650134,-0.015588,-0.000179,0.997092,24.9273
10,117.5000,5.0000,0.0000,0.294397,0.424427,-0.000386,0.997092,24.9273
11,617.5000,5.0000,0.0000,-0.249581,0.459137,-0.000115,0.997092,24.9273
12,314.0000,533.8640,0.0000,0.072582,-4.669592,-0.004116,0.997092,24.9273
13,301.6450,173.0000,-0.2000,0.511533,-5.912232,-0.960040,0.997092,24.9273
14,63.0801,99.2580,0.1280,1.438175,0.004935,0.000000,0.997092,24.9273
15,117.5000,5.0000,0.1280,0.289911,0.418441,0.000000,0.997092,24.9273
16,617.5000,5.0000,0.1280,-0.245710,0.449576,0.000000,0.997092,24.9273
17,314.0000,533.8640,0.1280,0.066502,-4.359081,0.000000,0.997092,24.9273
18,63.1803,99.4316,0.1280,1.614848,-0.012135,0.000000,0.997092,24.9273
19,117.8010,194.0380,0.1280,6.931149,-5.173320,0.000000,0.997092,24.9273
20,301.6450,173.0000,-0.4000,0.522555,-5.909676,-0.960228,0.997092,24.9273
21,314.0000,532.6170,0.1280,0.006584,-4.917132,0.000000,0.997092,24.9273
22,69.9103,101.0880,0.1280,2.397026,-0.228080,0.000000,0.997092,24.9273
23,122.5000,10.0000,0.1280,0.594504,0.246415,0.000000,0.997092,24.9273
24,312.4100,521.1100,0.1280,-0.100100,-7.269609,0.000000,0.997092,24.9273
25,607.5000,10.0000,0.1280,-0.583754,0.180732,0.000000,0.997092,24.9273
26,69.9103,101.0880,0.0000,2.396251,-0.228563,-0.000171,0.997092,24.9273
27,122.5000,10.0000,0.0000,0.593929,0.246805,-0.000023,0.997092,24.9273
28,607.5000,10.0000,0.0000,-0.583235,0.180987,-0.000185,0.997092,24.9273
29,312.4100,521.1100,0.0000,-0.099525,-7.270632,-0.000165,0.997092,24.9273
30,117.5000,5.0000,0.6280,0.223968,0.332373,0.000000,0.997092,24.9273
31,63.0801,99.6058,0.1280,0.387738,-0.092662,0.000000,0.997092,24.9273
32,63.0801,99.6058,0.6280,0.985876,-0.005509,0.000000,0.997092,24.9273
33,617.5000,5.0000,0.6280,-0.158197,0.244885,0.000000,0.997092,24.9273
34,314.0000,532.6170,0.6280,0.006249,-5.090495,0.000000,0.997092,24.9273
35,315.0000,545.5960,-0.1000,1.610681,-4.878829,-0.494738,0.997092,24.9273
36,630.0000,0.0000,-0.1000,0.139179,1.501555,0.011428,0.997092,24.9273
37,318.9870,538.6900,0.0000,0.811222,-5.864343,-0.207181,0.997092,24.9273
38,322.9750,531.7830,0.0000,-0.001432,-7.009714,-0.057734,0.997092,24.9273
39,326.9620,524.8770,0.0000,-0.356875,-8.037834,-0.003163,0.997092,24.9273
40,330.9490,517.9710,0.0000,-0.484125,-8.838226,0.016587,0.997092,24.9273
