T_Nm,T_Ncm,k_glue,mode,eigenvalue,tension_margin_Nm,stable
300,3.0,1.00E+10,1,-6997436.000000,-174935900.0000,no
300,3.0,1.00E+10,2,-38312.140000,-957803.5000,no
300,3.0,1.00E+10,3,-14891.870000,-372296.7500,no
300,3.0,1.00E+10,4,3.095459,77.3865,yes
300,3.0,1.00E+10,5,1559.343000,38983.5750,yes
300,3.0,1.00E+10,6,nan,nan,no
300,3.0,1.00E+10,7,nan,nan,no
300,3.0,1.00E+07,1,-12506120.000000,-312653000.0000,no
300,3.0,1.00E+07,2,-84540.850000,-2113521.2500,no
300,3.0,1.00E+07,3,0.819565,20.4891,yes
300,3.0,1.00E+07,4,1.180386,29.5097,yes
300,3.0,1.00E+07,5,98284.010000,2457100.2500,yes
300,3.0,1.00E+07,6,nan,nan,no
300,3.0,1.00E+07,7,nan,nan,no
300,3.0,1.00E+05,1,0.999298,24.9825,yes
300,3.0,1.00E+05,2,0.999790,24.9948,yes
300,3.0,1.00E+05,3,0.999880,24.9970,yes
300,3.0,1.00E+05,4,1.000123,25.0031,yes
300,3.0,1.00E+05,5,1.000210,25.0053,yes
300,3.0,1.00E+05,6,nan,nan,no
300,3.0,1.00E+05,7,nan,nan,no
300,3.0,1.00E+03,1,0.961567,24.0392,yes
300,3.0,1.00E+03,2,0.961875,24.0469,yes
300,3.0,1.00E+03,3,0.998893,24.9723,yes
300,3.0,1.00E+03,4,1.001068,25.0267,yes
300,3.0,1.00E+03,5,1.042733,26.0683,yes
300,3.0,1.00E+03,6,nan,nan,no
300,3.0,1.00E+03,7,nan,nan,no
300,3.0,0.00E+00,1,0.986481,24.6620,yes
300,3.0,0.00E+00,2,0.993098,24.8275,yes
300,3.0,0.00E+00,3,1.007952,25.1988,yes
300,3.0,0.00E+00,4,1.011406,25.2852,yes
300,3.0,0.00E+00,5,1.013579,25.3395,yes
300,3.0,0.00E+00,6,nan,nan,no
300,3.0,0.00E+00,7,nan,nan,no
500,5.0,1.00E+10,1,-932119500.000000,-23302987500.0000,no
500,5.0,1.00E+10,2,0.996113,24.9028,yes
500,5.0,1.00E+10,3,1.003889,25.0972,yes
500,5.0,1.00E+10,4,1.739248,43.4812,yes
500,5.0,1.00E+10,5,15.306840,382.6710,yes
500,5.0,1.00E+10,6,nan,nan,no
500,5.0,1.00E+10,7,nan,nan,no
500,5.0,1.00E+07,1,-24503970.000000,-612599250.0000,no
500,5.0,1.00E+07,2,0.726061,18.1515,yes
500,5.0,1.00E+07,3,0.941724,23.5431,yes
500,5.0,1.00E+07,4,1.058315,26.4579,yes
500,5.0,1.00E+07,5,1.274050,31.8513,yes
500,5.0,1.00E+07,6,nan,nan,no
500,5.0,1.00E+07,7,nan,nan,no
500,5.0,1.00E+05,1,-6866976000.000000,-171674400000.0000,no
500,5.0,1.00E+05,2,-44317.170000,-1107929.2500,no
500,5.0,1.00E+05,3,2043.182000,51079.5500,yes
500,5.0,1.00E+05,4,2587.106000,64677.6500,yes
500,5.0,1.00E+05,5,3353.843000,83846.0750,yes
500,5.0,1.00E+05,6,nan,nan,no
500,5.0,1.00E+05,7,nan,nan,no
500,5.0,1.00E+03,1,0.997092,24.9273,yes
500,5.0,1.00E+03,2,0.998903,24.9726,yes
500,5.0,1.00E+03,3,0.999646,24.9912,yes
500,5.0,1.00E+03,4,1.000370,25.0093,yes
500,5.0,1.00E+03,5,1.001097,25.0274,yes
500,5.0,1.00E+03,6,nan,nan,no
500,5.0,1.00E+03,7,nan,nan,no
500,5.0,0.00E+00,1,0.999777,24.9944,yes
500,5.0,0.00E+00,2,0.999958,24.9990,yes
500,5.0,0.00E+00,3,1.000086,25.0022,yes
500,5.0,0.00E+00,4,1.000097,25.0024,yes
500,5.0,0.00E+00,5,1.000215,25.0054,yes
500,5.0,0.00E+00,6,nan,nan,no
500,5.0,0.00E+00,7,nan,nan,no
700,7.0,1.00E+10,1,0.985682,24.6420,yes
700,7.0,1.00E+10,2,0.995175,24.8794,yes
700,7.0,1.00E+10,3,0.995383,24.8846,yes
700,7.0,1.00E+10,4,1.004660,25.1165,yes
700,7.0,1.00E+10,5,1.004671,25.1168,yes
700,7.0,1.00E+10,6,nan,nan,no
700,7.0,1.00E+10,7,nan,nan,no
700,7.0,1.00E+07,1,-82686.070000,-2067151.7500,no
700,7.0,1.00E+07,2,-11115.190000,-277879.7500,no
700,7.0,1.00E+07,3,-5829.411000,-145735.2750,no
700,7.0,1.00E+07,4,-3693.575000,-92339.3750,no
700,7.0,1.00E+07,5,3355.656000,83891.4000,yes
700,7.0,1.00E+07,6,nan,nan,no
700,7.0,1.00E+07,7,nan,nan,no
700,7.0,1.00E+05,1,0.996657,24.9164,yes
