node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-1.7e-05,0.0,0.000607,0.0264
2,315.0,545.596,-0.2,2e-06,1.1e-05,0.000607,0.0383
3,630.0,0.0,0.0,8e-06,5e-06,-0.000436,0.0371
4,630.0,0.0,-0.2,-8e-06,-1.6e-05,-0.000436,0.0373
5,55.0,95.2628,0.0,-1.3e-05,1.2e-05,-0.000603,0.0398
6,55.0,95.2628,-0.2,1.3e-05,4e-06,-0.000603,0.0841
7,110.0,0.0,0.0,-6e-06,8e-06,-3.3e-05,0.1189
8,110.0,0.0,-0.2,2e-06,-3e-06,-3.3e-05,0.0562
9,63.0801,99.258,0.0,1e-06,0.0,-1e-06,0.1842
10,117.5,5.0,0.0,0.0,0.0,-0.0,0.1122
11,617.5,5.0,0.0,1e-06,-0.0,-4e-06,0.581
12,314.0,533.864,0.0,-0.0,-0.0,6e-06,0.2925
13,301.645,173.0,-0.2,-0.0,-0.0,-4e-06,0.118
14,63.0801,99.258,0.128,0.0,0.0,0.0,0.2157
15,117.5,5.0,0.128,0.0,0.0,0.0,0.1849
16,617.5,5.0,0.128,0.0,0.0,0.0,0.272
17,314.0,533.864,0.128,0.0,0.0,0.0,1.0223
18,63.1803,99.4316,0.128,0.0,0.0,0.0,0.4879
19,117.801,194.038,0.128,0.0,0.0,0.0,1.1299
20,301.645,173.0,-0.4,0.0,0.0,0.0,0.3409
21,314.0,532.617,0.128,3e-06,-6e-06,-3.2e-05,1.6081
22,69.9103,101.088,0.128,2e-06,-5e-06,0.0,0.8387
23,122.5,10.0,0.128,4e-06,-3e-06,0.0,0.7759
24,312.41,521.11,0.128,1.5e-05,-3.1e-05,0.0,1.1737
25,607.5,10.0,0.128,-1.5e-05,7e-06,0.0,1.376
26,69.9103,101.088,0.0,1e-06,-2e-06,1e-05,0.5981
27,122.5,10.0,0.0,4e-06,0.0,3e-05,0.9713
28,607.5,10.0,0.0,-9e-06,7e-06,6e-06,1.1919
29,312.41,521.11,0.0,1.6e-05,-3e-05,2.4e-05,1.2118
30,117.5,5.0,0.628,0.0,0.0,0.0,1.6443
31,63.0801,99.6058,0.128,0.0,0.0,0.0,0.0
32,63.0801,99.6058,0.628,0.0,0.0,0.0,0.56
33,617.5,5.0,0.628,0.0,0.0,0.0,0.0
34,314.0,532.617,0.628,-1.1e-05,-0.000517,-0.000905,1.5914
35,315.0,545.596,-0.1,-8e-06,6e-06,0.000607,0.0099
36,630.0,0.0,-0.1,0.0,-5e-06,-0.000436,0.0035
37,318.987,538.69,0.0,-1.5e-05,-1e-06,0.000506,0.0553
38,322.975,531.783,0.0,-0.0,1.2e-05,0.00031,0.0696
39,326.962,524.877,0.0,1e-05,4e-06,0.00018,0.0865
40,330.949,517.971,0.0,-8e-06,-7e-06,0.000239,0.0584
41,334.937,511.065,0.0,-8e-06,-5e-06,0.000255,0.048
