node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,315.0,545.596,0.0,-0.006767,-0.08341,156.972,4.3441
2,315.0,545.596,-0.2,0.000462,0.076184,156.972,4.2199
3,630.0,0.0,0.0,-0.076538,0.034815,156.207,4.4485
4,630.0,0.0,-0.2,0.065078,-0.038372,156.207,4.336
5,55.0,95.2628,0.0,0.057358,0.02022,74.5639,5.3481
6,55.0,95.2628,-0.2,-0.051429,-0.01437,74.5639,5.196
7,110.0,0.0,0.0,0.044926,0.040836,74.4612,5.2034
8,110.0,0.0,-0.2,-0.039632,-0.035667,74.4612,5.0706
9,63.0801,99.258,0.0,0.055671,0.019509,69.5607,3.528
10,117.5,5.0,0.0,0.043519,0.03967,69.4606,4.4869
11,617.5,5.0,0.0,-0.075459,0.034654,145.549,3.9496
12,314.0,533.864,0.0,-0.006332,-0.082684,147.581,3.3959
13,301.645,173.0,-0.2,2.5e-05,2.4e-05,0.000385,10.2694
14,63.0801,99.258,0.128,0.123153,0.040536,69.5607,9.5701
15,117.5,5.0,0.128,0.095634,0.087368,69.4607,6.8283
16,617.5,5.0,0.128,-0.164731,0.081337,145.549,4.0163
17,314.0,533.864,0.128,-0.010706,-0.183885,147.581,8.6545
18,63.1803,99.4316,0.128,0.123156,0.040482,69.4794,6.355
19,117.801,194.038,0.128,0.097987,-0.010881,38.2208,7.5713
20,301.645,173.0,-0.4,0.0,0.0,0.0,35.3686
21,314.0,532.617,0.128,-0.010683,-0.183398,146.596,8.6442
22,69.9103,101.088,0.128,0.120642,0.039576,65.7073,4.4481
23,122.5,10.0,0.128,0.093533,0.085619,65.6123,4.1269
24,312.41,521.11,0.128,-0.009667,-0.179059,137.597,3.2985
25,607.5,10.0,0.128,-0.160813,0.079584,136.867,3.798
26,69.9103,101.088,0.0,0.054891,0.018998,65.7073,4.3794
27,122.5,10.0,0.0,0.042719,0.03921,65.6122,4.4009
28,607.5,10.0,0.0,-0.073945,0.034052,136.867,3.0447
29,312.41,521.11,0.0,-0.00575,-0.080935,137.597,3.3648
30,117.5,5.0,0.628,0.299292,0.273788,69.46,0.1478
31,63.0801,99.6058,0.128,0.123356,0.040352,69.5037,0.9226
32,63.0801,99.6058,0.628,0.387084,0.122257,69.503,0.1442
33,617.5,5.0,0.628,-0.513532,0.263776,145.548,0.145
34,314.0,532.617,0.628,-0.027757,-0.577742,146.595,0.0948
35,315.0,545.596,-0.1,-0.003152,-0.003613,156.972,0.0665
36,630.0,0.0,-0.1,-0.005729,-0.001778,156.207,0.0587
37,318.987,538.69,0.0,-0.007436,-0.083516,151.615,4.2015
38,322.975,531.783,0.0,-0.007853,-0.082175,146.329,4.6973
39,326.962,524.877,0.0,-0.008291,-0.081067,141.168,5.0315
40,330.949,517.971,0.0,-0.008845,-0.07994,136.133,5.1077
41,334.937,511.065,0.0,-0.009498,-0.078763,131.225,5.0824
42,338.924,504.158,0.0,-0.010242,-0.077558,126.447,5.2862
43,342.911,497.252,0.0,-0.011,-0.076278,121.799,5.3708
44,346.899,490.346,0.0,-0.011786,-0.074928,117.281,5.512
45,350.886,483.439,0.0,-0.01264,-0.073558,112.897,5.5213
46,354.873,476.533,0.0,-0.013484,-0.07216,108.647,5.5554
47,358.861,469.627,0.0,-0.014306,-0.070713,104.53,5.3511
48,362.848,462.721,0.0,-0.015229,-0.069295,100.549,5.6197
49,366.835,455.814,0.0,-0.016115,-0.067827,96.7035,5.6474
50,370.823,448.908,0.0,-0.017061,-0.06637,92.9941,5.6989
51,374.81,442.002,0.0,-0.017941,-0.064852,89.4217,5.4579
52,378.797,435.096,0.0,-0.018887,-0.063349,85.9872,5.4963
53,382.785,428.189,0.0,-0.019845,-0.061823,82.6908,5.4993
54,386.772,421.283,0.0,-0.020832,-0.060315,79.5332,5.7039
55,390.759,414.377,0.0,-0.021772,-0.058761,76.5147,5.6868
56,394.747,407.47,0.0,-0.02275,-0.05719,73.637,5.6364
57,398.734,400.564,0.0,-0.02372,-0.05562,70.9002,5.7884
58,402.722,393.658,0.0,-0.024706,-0.054058,68.3045,5.8847
59,406.709,386.752,0.0,-0.025719,-0.052504,65.8502,5.857
60,410.696,379.845,0.0,-0.026684,-0.050884,63.5375,5.6953
61,414.684,372.939,0.0,-0.027676,-0.049288,61.3669,5.7933
62,418.671,366.033,0.0,-0.028692,-0.047697,59.3388,5.8248
63,422.658,359.126,0.0,-0.029687,-0.046069,57.4535,5.8409
64,426.646,352.22,0.0,-0.030694,-0.044457,55.7113,5.7393
65,430.633,345.314,0.0,-0.03168,-0.042835,54.1122,5.5845
66,434.62,338.408,0.0,-0.032683,-0.041218,52.656,5.5843
67,438.608,331.501,0.0,-0.033719,-0.039573,51.3434,5.6067
68,442.595,324.595,0.0,-0.034709,-0.037924,50.1747,5.6495
69,446.582,317.689,0.0,-0.035779,-0.036317,49.1497,5.8157
70,450.57,310.783,0.0,-0.036699,-0.034641,48.2683,5.7504
71,454.557,303.876,0.0,-0.037774,-0.033009,47.5316,5.6363
72,458.544,296.97,0.0,-0.038794,-0.031326,46.9394,5.7568
73,462.532,290.064,0.0,-0.039725,-0.02964,46.4914,5.6865
74,466.519,283.157,0.0,-0.04079,-0.028038,46.1879,5.8114
75,470.506,276.251,0.0,-0.041749,-0.026365,46.0277,5.8162
76,474.494,269.345,0.0,-0.042781,-0.024707,46.012,5.8754
77,478.481,262.439,0.0,-0.043767,-0.023042,46.1412,5.823
78,482.468,255.532,0.0,-0.044769,-0.021369,46.4153,5.6608
79,486.456,248.626,0.0,-0.045762,-0.019692,46.8343,5.8107
80,490.443,241.72,0.0,-0.046722,-0.018024,47.3975,5.7318
81,494.43,234.813,0.0,-0.047767,-0.016389,48.1053,5.7873
82,498.418,227.907,0.0,-0.048747,-0.0147,48.9574,5.7613
83,502.405,221.001,0.0,-0.049711,-0.013025,49.9539,5.7954
84,506.392,214.095,0.0,-0.050717,-0.011376,51.0947,5.786
85,510.38,207.188,0.0,-0.051703,-0.009706,52.38,5.8157
86,514.367,200.282,0.0,-0.052655,-0.008019,53.8096,5.7328
87,518.354,193.376,0.0,-0.053661,-0.006375,55.3834,5.8594
88,522.342,186.47,0.0,-0.054614,-0.004719,57.1012,5.6603
89,526.329,179.563,0.0,-0.05558,-0.003056,58.9621,5.7204
90,530.316,172.657,0.0,-0.056517,-0.001393,60.9663,5.7
91,534.304,165.751,0.0,-0.057487,0.000248,63.1137,5.7471
92,538.291,158.844,0.0,-0.058437,0.001887,65.404,5.7426
93,542.279,151.938,0.0,-0.059383,0.00352,67.8365,5.7244
94,546.266,145.032,0.0,-0.060314,0.005159,70.411,5.7261
95,550.253,138.126,0.0,-0.061267,0.006778,73.1273,5.72
96,554.24,131.219,0.0,-0.062162,0.008402,75.985,5.6955
97,558.228,124.313,0.0,-0.063128,0.009983,78.9837,5.8455
98,562.215,117.407,0.0,-0.064035,0.011598,82.1232,5.644
99,566.203,110.5,0.0,-0.064953,0.013164,85.4026,5.5831
100,570.19,103.594,0.0,-0.065899,0.014734,88.8216,5.6578
101,574.177,96.6879,0.0,-0.066774,0.016324,92.3797,5.5758
102,578.165,89.7816,0.0,-0.067659,0.017896,96.0765,5.557
103,582.152,82.8753,0.0,-0.068533,0.019448,99.9115,5.4713
104,586.139,75.9691,0.0,-0.06942,0.020955,103.884,5.5308
105,590.127,69.0628,0.0,-0.07026,0.022452,107.992,5.4209
106,594.114,62.1565,0.0,-0.071079,0.023913,112.234,5.4026
107,598.101,55.2502,0.0,-0.071916,0.025352,116.609,5.3633
