node_id,x_mm,y_mm,z_mm,Ux_mm,Uy_mm,Uz_mm,vonMises_MPa
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.5,0.0,0.0,0.0,0.0
3,625.204,0.0,0.0,0.0,0.0,0.0,0.0
4,625.204,0.0,0.5,0.0,0.0,0.0,0.0
5,312.602,541.443,0.0,0.0,0.0,0.0,0.0
6,312.602,541.443,0.5,0.0,0.0,0.0,0.0
7,4.9619,0.0,0.0,0.0,0.0,0.0,0.0705
8,9.9239,0.0,0.0,0.0,0.0,0.0,0.1776
9,14.8858,0.0,0.0,0.0,0.0,0.0,0.2667
10,19.8477,0.0,0.0,0.0,0.0,0.0,0.4388
11,24.8097,0.0,0.0,0.0,0.0,0.0,0.3332
12,29.7716,0.0,0.0,0.0,0.0,0.0,0.3327
13,34.7336,0.0,0.0,0.0,0.0,0.0,0.359
14,39.6955,0.0,0.0,0.0,0.0,0.0,0.3579
15,44.6574,0.0,0.0,0.0,0.0,0.0,0.4024
16,49.6194,0.0,0.0,0.0,0.0,0.0,0.1851
17,54.5813,0.0,0.0,0.0,0.0,0.0,0.1892
18,59.5432,0.0,0.0,0.0,0.0,0.0,0.1929
19,64.5052,0.0,0.0,0.0,0.0,0.0,0.1813
20,69.4671,0.0,0.0,0.0,0.0,0.0,0.2466
21,74.429,0.0,0.0,0.0,0.0,0.0,0.2445
22,79.391,0.0,0.0,0.0,0.0,0.0,0.2503
23,84.3529,0.0,0.0,0.0,0.0,0.0,0.1711
24,89.3148,0.0,0.0,0.0,0.0,0.0,0.1873
25,94.2768,0.0,0.0,0.0,0.0,0.0,0.197
26,99.2387,0.0,0.0,0.0,0.0,0.0,0.2109
27,104.201,0.0,0.0,0.0,0.0,0.0,0.1807
28,109.163,0.0,0.0,0.0,0.0,0.0,0.1946
29,114.125,0.0,0.0,0.0,0.0,0.0,0.3554
30,119.086,0.0,0.0,0.0,0.0,0.0,0.3593
31,124.048,0.0,0.0,0.0,0.0,0.0,0.3589
32,129.01,0.0,0.0,0.0,0.0,0.0,0.2179
33,133.972,0.0,0.0,0.0,0.0,0.0,0.1625
34,138.934,0.0,0.0,0.0,0.0,0.0,0.3206
35,143.896,0.0,0.0,0.0,0.0,0.0,0.2018
36,148.858,0.0,0.0,0.0,0.0,0.0,0.2428
37,153.82,0.0,0.0,0.0,0.0,0.0,0.3566
38,158.782,0.0,0.0,0.0,0.0,0.0,0.1892
39,163.744,0.0,0.0,0.0,0.0,0.0,0.2452
40,168.706,0.0,0.0,0.0,0.0,0.0,0.3905
41,173.668,0.0,0.0,0.0,0.0,0.0,0.1736
42,178.63,0.0,0.0,0.0,0.0,0.0,0.1906
43,183.592,0.0,0.0,0.0,0.0,0.0,0.1211
44,188.554,0.0,0.0,0.0,0.0,0.0,0.3254
45,193.516,0.0,0.0,0.0,0.0,0.0,0.3577
46,198.477,0.0,0.0,0.0,0.0,0.0,0.2912
47,203.439,0.0,0.0,0.0,0.0,0.0,0.3231
48,208.401,0.0,0.0,0.0,0.0,0.0,0.1703
49,213.363,0.0,0.0,0.0,0.0,0.0,0.3588
50,218.325,0.0,0.0,0.0,0.0,0.0,0.3173
51,223.287,0.0,0.0,0.0,0.0,0.0,0.1962
52,228.249,0.0,0.0,0.0,0.0,0.0,0.1756
53,233.211,0.0,0.0,0.0,0.0,0.0,0.1896
54,238.173,0.0,0.0,0.0,0.0,0.0,0.187
55,243.135,0.0,0.0,0.0,0.0,0.0,0.1885
56,248.097,0.0,0.0,0.0,0.0,0.0,0.2227
57,253.059,0.0,0.0,0.0,0.0,0.0,0.1751
58,258.021,0.0,0.0,0.0,0.0,0.0,0.1779
