vi,pad_id,x_v,y_v,vmm,ch,n_track_v,k_hit_v,amp_n_v,amp_med_v,amp_p25_v,amp_p75_v,eff_v,di,x_d,y_d,n_track_d,k_hit_d,eff_d,amp_n_lead,amp_med_lead,amp_p25_d,amp_p75_d,amp_n_d,amp_med_d,amp_mean,pad_area,radius,connector_N,half,masked,mpv_v,mpv_d,use
0,447,144.35,56.38,14,0,0,0,0,,,,,0,144.3471,56.383,0,0,,0,,,,0,,,130.567,205.3015,4,bot,False,,,False
1,446,538.9,208.42,14,1,0,0,0,,,,,1,538.9023,208.4196,0,0,,0,,,,0,,,133.018,628.147,4,bot,False,,,False
2,445,357.74,138.25,14,2,0,0,0,,,,,2,357.7356,138.249,0,0,,0,,,,0,,,132.609,433.8677,4,bot,False,,,False
3,444,176.57,68.11,14,3,0,0,0,,,,,3,176.5673,68.1079,0,0,,0,,,,0,,,131.228,239.5518,4,bot,False,,,False
4,443,389.96,149.98,14,4,0,0,0,,,,,4,389.9576,149.9791,0,0,,0,,,,0,,,132.702,468.1374,4,bot,False,,,False
5,442,422.18,161.71,14,5,0,0,0,,,,,5,422.179,161.709,0,0,,0,,,,0,,,132.783,502.4153,4,bot,False,,,False
6,441,208.79,79.83,14,6,0,0,0,,,,,6,208.787,79.8333,0,0,,0,,,,0,,,131.661,273.8179,4,bot,False,,,False
7,440,454.4,173.44,14,7,0,0,0,,,,,7,454.3997,173.4382,0,0,,0,,,,0,,,132.865,536.6903,4,bot,False,,,False
8,439,486.62,185.17,14,8,0,0,0,,,,,8,486.6205,185.1675,0,0,,0,,,,0,,,132.928,570.9702,4,bot,False,,,False
9,438,241.01,91.56,14,9,0,0,0,,,,,9,241.0062,91.5587,0,0,,0,,,,0,,,131.964,308.0876,4,bot,False,,,False
10,437,518.84,196.9,14,10,0,0,0,,,,,10,518.8405,196.8959,0,0,,0,,,,0,,,132.987,605.246,4,bot,False,,,False
11,436,551.06,208.62,14,11,0,0,0,,,,,11,551.0603,208.6245,0,0,,0,,,,0,,,133.032,636.3635,4,bot,False,,,False
12,435,273.23,103.28,14,12,0,0,0,,,,,12,273.2253,103.284,0,0,,0,,,,0,,,132.197,342.3705,4,bot,False,,,False
13,434,305.44,115.01,14,13,0,0,0,,,,,13,305.4442,115.01,0,0,,0,,,,0,,,132.376,376.6527,4,bot,False,,,False
14,433,337.66,126.74,14,14,0,0,0,,,,,14,337.6629,126.7359,0,0,,0,,,,0,,,132.523,410.9336,4,bot,False,,,False
15,432,369.88,138.46,14,15,0,0,0,,,,,15,369.8815,138.4616,0,0,,0,,,,0,,,132.635,445.2154,4,bot,False,,,False
16,431,402.1,150.19,14,16,0,0,0,,,,,16,402.1,150.1879,0,0,,0,,,,0,,,132.732,479.4977,4,bot,False,,,False
17,430,434.32,161.91,14,17,0,0,0,,,,,17,434.3186,161.9136,0,0,,0,,,,0,,,132.82,513.7798,4,bot,False,,,False
18,429,466.54,173.64,14,18,0,0,0,,,,,18,466.5371,173.6401,0,0,,0,,,,0,,,132.89,548.0631,4,bot,False,,,False
19,428,498.76,185.37,14,19,0,0,0,,,,,19,498.7553,185.3661,0,0,,0,,,,0,,,132.95,582.3457,4,bot,False,,,False
20,427,530.97,197.09,14,20,0,0,0,,,,,20,530.9736,197.0923,0,0,,0,,,,0,,,133.0,616.6285,4,bot,False,,,False
21,426,253.12,91.77,14,21,0,0,0,,,,,21,253.1154,91.7747,0,0,,0,,,,0,,,132.05,319.4883,4,bot,False,,,False
22,425,285.33,103.49,14,22,0,0,0,,,,,22,285.3339,103.4937,0,0,,0,,,,0,,,132.261,353.7487,4,bot,False,,,False
23,424,317.55,115.21,14,23,0,0,0,,,,,23,317.5523,115.2142,0,0,,0,,,,0,,,132.434,388.0194,4,bot,False,,,False
24,423,349.77,126.94,14,24,0,0,0,,,,,24,349.7707,126.9359,0,0,,0,,,,0,,,132.56,422.2987,4,bot,False,,,False
25,422,381.99,138.66,14,25,0,0,0,,,,,25,381.9891,138.6582,0,0,,0,,,,0,,,132.671,456.5791,4,bot,False,,,False
26,421,414.21,150.38,14,26,0,0,0,,,,,26,414.2072,150.3811,0,0,,0,,,,0,,,132.76,490.8601,4,bot,False,,,False
27,420,446.43,162.1,14,27,0,0,0,,,,,27,446.4257,162.1048,0,0,,0,,,,0,,,132.835,525.1471,4,bot,False,,,False
28,419,478.64,173.83,14,28,0,0,0,,,,,28,478.6436,173.8288,0,0,,0,,,,0,,,132.911,559.4324,4,bot,False,,,False
29,418,510.86,185.55,14,29,0,0,0,,,,,29,510.862,185.5531,0,0,,0,,,,0,,,132.971,593.7189,4,bot,False,,,False
30,417,543.08,197.28,14,30,0,0,0,,,,,30,543.08,197.2778,0,0,,0,,,,0,,,133.017,628.004,4,bot,False,,,False
31,416,220.9,80.06,14,31,0,0,0,,,,,31,220.8966,80.0583,0,0,,0,,,,0,,,131.772,285.2109,4,bot,False,,,False
32,415,188.68,68.35,14,32,0,0,0,,,,,32,188.6776,68.3451,0,0,,0,,,,0,,,131.381,250.9346,4,bot,False,,,False
33,414,156.46,56.64,14,33,0,0,0,,,,,33,156.4584,56.6379,0,0,,0,,,,0,,,130.813,216.6622,4,bot,False,,,False
34,413,124.24,44.94,14,34,0,0,0,,,,,34,124.238,44.9423,0,0,,0,,,,0,,,129.909,182.3929,4,bot,False,,,False
