channel_id,feu,channel,pad_cx,pad_cy,ped_mean,thr_word,thr_adc
447,5,0,144.3471,56.383,380,284,28
446,5,1,538.9023,208.4196,389,283,27
445,5,2,357.7356,138.249,346,283,27
444,5,3,176.5673,68.1079,374,284,28
443,5,4,389.9576,149.9791,346,283,27
442,5,5,422.179,161.709,404,282,26
441,5,6,208.787,79.8333,344,284,28
440,5,7,454.3997,173.4382,380,283,27
439,5,8,486.6205,185.1675,379,283,27
438,5,9,241.0062,91.5587,371,283,27
437,5,10,518.8405,196.8959,367,282,26
436,5,11,551.0603,208.6245,396,282,26
435,5,12,273.2253,103.284,366,283,27
434,5,13,305.4442,115.01,396,283,27
433,5,14,337.6629,126.7359,366,283,27
432,5,15,369.8815,138.4616,372,283,27
431,5,16,402.1,150.1879,385,284,28
430,5,17,434.3186,161.9136,389,283,27
429,5,18,466.5371,173.6401,393,283,27
428,5,19,498.7553,185.3661,373,284,28
427,5,20,530.9736,197.0923,374,284,28
426,5,21,253.1154,91.7747,383,284,28
425,5,22,285.3339,103.4937,380,284,28
424,5,23,317.5523,115.2142,413,284,28
423,5,24,349.7707,126.9359,374,283,27
422,5,25,381.9891,138.6582,376,283,27
421,5,26,414.2072,150.3811,366,284,28
420,5,27,446.4257,162.1048,383,283,27
419,5,28,478.6436,173.8288,384,283,27
418,5,29,510.862,185.5531,399,283,27
417,5,30,543.08,197.2778,398,284,28
416,5,31,220.8966,80.0583,413,284,28
415,5,32,188.6776,68.3451,383,284,28
414,5,33,156.4584,56.6379,386,285,29
413,5,34,124.238,44.9423,378,284,28
412,5,35,426.2817,150.5609,391,283,27
411,5,36,458.5021,162.2831,373,284,28
410,5,37,490.7221,174.0057,417,283,27
409,5,38,522.9418,185.7294,388,283,27
408,5,39,555.1616,197.4525,410,283,27
407,5,40,394.0613,138.8397,352,284,28
406,5,41,361.84,127.1193,405,283,27
405,5,42,329.6184,115.4001,402,283,27
404,5,43,297.3957,103.6827,389,283,27
403,5,44,265.1722,91.9671,392,285,29
402,5,45,232.9471,80.2552,379,284,28
401,5,46,200.7195,68.5485,358,284,28
400,5,47,168.4884,56.8501,383,285,29
399,5,48,136.2509,45.167,358,284,28
398,5,49,534.9965,185.8953,347,281,25
397,5,50,502.7736,174.1724,390,283,27
396,5,51,470.5501,162.4503,417,282,26
395,5,52,438.326,150.7284,377,283,27
394,5,53,406.1005,139.0076,399,282,26
393,5,54,373.874,127.288,366,283,27
392,5,55,341.646,115.5698,351,283,27
391,5,56,309.4155,103.8532,346,283,27
390,5,57,277.1825,92.1395,363,282,26
389,5,58,547.0273,186.0523,351,282,26
388,5,59,514.8001,174.329,363,282,26
387,5,60,482.5717,162.6066,363,282,26
386,5,61,450.3415,150.885,365,282,26
385,5,62,418.1098,139.1638,374,283,27
384,5,63,559.0359,186.2003,382,282,26
511,5,64,517.5066,230.142,289,283,27
510,5,65,465.3043,206.9018,265,284,28
509,5,66,413.1015,183.6627,288,284,28
508,5,67,497.5873,218.6703,315,284,28
507,5,68,360.8991,160.4241,325,283,27
506,5,69,445.3834,195.432,268,283,27
505,5,70,529.8633,230.433,286,282,26
504,5,71,308.6966,137.1869,274,285,29
503,5,72,393.1792,172.1946,302,284,28
502,5,73,477.6574,207.1948,297,283,27
501,5,74,256.494,113.9519,292,285,29
500,5,75,340.9745,148.9585,293,283,27
499,5,76,425.4505,183.9581,310,284,28
498,5,77,509.9245,218.9535,302,283,27
497,5,78,288.7689,125.7253,296,284,28
496,5,79,373.2427,160.7225,290,284,28
495,5,80,457.7147,195.7159,310,285,29
494,5,81,542.1859,230.708,274,284,28
493,5,82,204.2918,90.7201,301,285,29
492,5,83,321.033,137.4891,284,284,28
491,5,84,405.5031,172.48,300,285,29
490,5,85,489.9731,207.47,310,284,28
489,5,86,236.5619,102.496,319,285,29
488,5,87,152.0896,67.4964,285,285,29
487,5,88,522.2268,219.2207,311,284,28
486,5,89,437.7578,184.2333,290,284,28
485,5,90,353.2891,149.2459,308,284,28
484,5,91,268.8204,114.2595,295,285,29
483,5,92,184.3524,79.2749,309,285,29
