station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,2,0,447,144.3471,56.383,205.3015,0.40114047,130.567,4,bot,0.0,0.0,,506.0,190.47619047619048,129.71428571428572,1012.5,189.33333333333334,1016.0,False,False,
P2_IN,2,1,446,538.9023,208.4196,628.147,0.38036893,133.018,4,bot,0.0,0.0,,14193.0,85.84567322711652,73.55570606163224,112.33569739952718,84.55279805352798,72.0,False,False,
P2_IN,2,2,445,357.7356,138.249,433.8677,0.38582775,132.609,4,bot,0.0,0.0,,44792.0,76.36308753773179,66.70547649849073,94.8098647573588,74.5648461414532,72.0,False,False,
P2_IN,2,3,444,176.5673,68.1079,239.5518,0.38981025,131.228,4,bot,0.0,0.0,,7307.0,91.2487899322362,77.27941844616083,121.7607223476298,89.41208053691275,72.0,False,False,
P2_IN,2,4,443,389.9576,149.9791,468.1374,0.38230133,132.702,4,bot,0.0,0.0,,29564.0,87.55484896661368,74.53383324406356,113.0755502676978,85.96360594017987,72.0,False,False,
P2_IN,2,5,442,422.179,161.709,502.4153,0.38036152,132.783,4,bot,0.0,0.0,,49093.0,86.29412613652764,74.27675528289025,106.87693389592124,84.80202598546576,72.0,False,False,
P2_IN,2,6,441,208.787,79.8333,273.8179,0.38371553,131.661,4,bot,0.0,0.0,,14650.0,71.58982909545644,59.60015866719556,90.49338700402531,69.5360291882031,56.0,False,False,
P2_IN,2,7,440,454.3997,173.4382,536.6903,0.37806329,132.865,4,bot,0.0,0.0,,33715.0,85.59804300244625,73.3396501457726,109.85648385443363,84.36108324974924,72.0,False,False,
P2_IN,2,8,439,486.6205,185.1675,570.9702,0.37657601,132.928,4,bot,0.0,0.0,,25492.0,85.45738451528952,73.47113274167383,108.88210818307905,84.34498834498835,72.0,False,False,
P2_IN,2,9,438,241.0062,91.5587,308.0876,0.3786958,131.964,4,bot,0.0,0.0,,16026.0,90.6481909160893,78.07163260821797,115.54866494401378,88.34361233480176,88.0,False,False,
P2_IN,2,10,437,518.8405,196.8959,605.246,0.37456285,132.987,4,bot,0.0,0.0,,21200.0,86.49797642090445,74.1846452866861,108.79601163273784,84.82214677461478,72.0,False,False,
P2_IN,2,11,436,551.0603,208.6245,636.3635,0.37361269,133.032,4,bot,0.0,0.0,,8152.0,92.24400274160384,81.06922549691569,121.10396975425331,90.66407010710809,88.0,False,False,
P2_IN,2,12,435,273.2253,103.284,342.3705,0.37801471,132.197,4,bot,0.0,0.0,,30328.0,80.70145631067962,71.58823529411765,101.99063231850117,80.54387203011056,72.0,False,False,
P2_IN,2,13,434,305.4442,115.01,376.6527,0.37682457,132.376,4,bot,0.0,0.0,,21693.0,98.04383828543595,87.13749434644957,125.26789734353895,97.52304900181488,88.0,False,False,
