channel_id,x,y,vmm,ch,n,k,adc_med,adc_p25,adc_p75,adc_med_dnl,adc_n,station,eff,use,adc_med_untracked,n_hits,illuminated
447,144.35,56.38,2,0,0,0,,,,,0,P2_IN,,False,190.47619047619048,506.0,False
446,538.9,208.42,2,1,0,0,,,,,0,P2_IN,,False,85.84567322711652,14193.0,False
445,357.74,138.25,2,2,0,0,,,,,0,P2_IN,,False,76.36308753773179,44792.0,False
444,176.57,68.11,2,3,0,0,,,,,0,P2_IN,,False,91.2487899322362,7307.0,False
443,389.96,149.98,2,4,0,0,,,,,0,P2_IN,,False,87.55484896661368,29564.0,False
442,422.18,161.71,2,5,0,0,,,,,0,P2_IN,,False,86.29412613652764,49093.0,False
441,208.79,79.83,2,6,0,0,,,,,0,P2_IN,,False,71.58982909545644,14650.0,False
440,454.4,173.44,2,7,0,0,,,,,0,P2_IN,,False,85.59804300244625,33715.0,False
439,486.62,185.17,2,8,0,0,,,,,0,P2_IN,,False,85.45738451528952,25492.0,False
438,241.01,91.56,2,9,0,0,,,,,0,P2_IN,,False,90.6481909160893,16026.0,False
437,518.84,196.9,2,10,0,0,,,,,0,P2_IN,,False,86.49797642090445,21200.0,False
436,551.06,208.62,2,11,0,0,,,,,0,P2_IN,,False,92.24400274160384,8152.0,False
435,273.23,103.28,2,12,0,0,,,,,0,P2_IN,,False,80.70145631067962,30328.0,False
434,305.44,115.01,2,13,0,0,,,,,0,P2_IN,,False,98.04383828543595,21693.0,False
433,337.66,126.74,2,14,0,0,,,,,0,P2_IN,,False,87.5186549541891,34232.0,False
432,369.88,138.46,2,15,0,0,,,,,0,P2_IN,,False,86.06482213438736,39250.0,False
431,402.1,150.19,2,16,0,0,,,,,0,P2_IN,,False,90.94171907756814,41508.0,False
430,434.32,161.91,2,17,0,0,,,,,0,P2_IN,,False,93.46755024919216,49196.0,False
429,466.54,173.64,2,18,0,0,,,,,0,P2_IN,,False,106.01596351197264,20368.0,False
428,498.76,185.37,2,19,0,0,,,,,0,P2_IN,,False,105.8998354102986,15731.0,False
427,530.97,197.09,2,20,0,0,,,,,0,P2_IN,,False,90.9982987410684,19871.0,False
426,253.12,91.77,2,21,0,0,,,,,0,P2_IN,,False,83.99342465753425,14180.0,False
425,285.33,103.49,2,22,0,0,,,,,0,P2_IN,,False,76.44475378458327,30124.0,False
424,317.55,115.21,2,23,0,0,,,,,0,P2_IN,,False,94.27922178988328,19510.0,False
423,349.77,126.94,2,24,0,0,,,,,0,P2_IN,,False,94.13590687493782,26942.0,False
422,381.99,138.66,2,25,0,0,,,,,0,P2_IN,,False,118.10909090909092,1112.0,False
421,414.21,150.38,2,26,0,0,,,,,0,P2_IN,,False,86.1788873599371,40552.0,False
420,446.43,162.1,2,27,0,0,,,,,0,P2_IN,,False,86.34840241369076,39738.0,False
419,478.64,173.83,2,28,0,0,,,,,0,P2_IN,,False,91.22132097334878,18175.0,False
418,510.86,185.55,2,29,0,0,,,,,0,P2_IN,,False,106.26415094339625,12394.0,False
417,543.08,197.28,2,30,0,0,,,,,0,P2_IN,,False,94.71555555555555,14885.0,False
416,220.9,80.06,2,31,0,0,,,,,0,P2_IN,,False,92.41943734015344,10860.0,False
415,188.68,68.35,2,32,0,0,,,,,0,P2_IN,,False,93.72775750771822,10714.0,False
414,156.46,56.64,2,33,0,0,,,,,0,P2_IN,,False,81.18792359827479,8523.0,False
413,124.24,44.94,2,34,0,0,,,,,0,P2_IN,,False,101.34232715008432,3758.0,False
412,426.28,150.56,2,35,0,0,,,,,0,P2_IN,,False,92.66984429615508,28492.0,False
411,458.5,162.28,2,36,0,0,,,,,0,P2_IN,,False,93.1583400022865,24965.0,False
410,490.72,174.01,2,37,0,0,,,,,0,P2_IN,,False,172.41094803649344,74346.0,False
409,522.94,185.73,2,38,0,0,,,,,0,P2_IN,,False,91.83210991906644,15994.0,False
408,555.16,197.45,2,39,0,0,,,,,0,P2_IN,,False,91.3192868719611,6201.0,False
407,394.06,138.84,2,40,0,0,,,,,0,P2_IN,,False,93.1888754534462,22152.0,False
406,361.84,127.12,2,41,0,0,,,,,0,P2_IN,,False,91.86016216934732,24263.0,False
405,329.62,115.4,2,42,0,0,,,,,0,P2_IN,,False,88.03368794326241,31544.0,False
404,297.4,103.68,2,43,0,0,,,,,0,P2_IN,,False,82.71567567567567,21344.0,False
403,265.17,91.97,2,44,0,0,,,,,0,P2_IN,,False,105.5438596491228,1206.0,False
402,232.95,80.26,2,45,0,0,,,,,0,P2_IN,,False,89.77326035965598,10433.0,False
401,200.72,68.55,2,46,0,0,,,,,0,P2_IN,,False,77.47185354691075,11463.0,False
400,168.49,56.85,2,47,0,0,,,,,0,P2_IN,,False,77.12874251497006,7229.0,False
399,136.25,45.17,2,48,0,0,,,,,0,P2_IN,,False,87.22095897182402,6628.0,False
398,535.0,185.9,2,49,0,0,,,,,0,P2_IN,,False,86.81458003169573,15927.0,False
397,502.77,174.17,2,50,0,0,,,,,0,P2_IN,,False,93.0547263681592,15606.0,False
396,470.55,162.45,2,51,0,0,,,,,0,P2_IN,,False,86.13291564108302,18688.0,False
395,438.33,150.73,2,52,0,0,,,,,0,P2_IN,,False,93.87705263157896,26707.0,False
394,406.1,139.01,2,53,0,0,,,,,0,P2_IN,,False,85.33432539682539,31921.0,False
393,373.87,127.29,2,54,0,0,,,,,0,P2_IN,,False,78.3143445435827,30787.0,False
392,341.65,115.57,2,55,0,0,,,,,0,P2_IN,,False,76.08020219039595,30274.0,False
391,309.42,103.85,2,56,0,0,,,,,0,P2_IN,,False,89.5986129172085,17446.0,False
390,277.18,92.14,2,57,0,0,,,,,0,P2_IN,,False,75.7358967872502,10259.0,False
389,547.03,186.05,2,58,0,0,,,,,0,P2_IN,,False,95.8525564803805,9376.0,False
388,514.8,174.33,2,59,0,0,,,,,0,P2_IN,,False,9.166375337676785,14421.0,False
