run,sub,start,gas,chip,mesh,drift,eff_OUT,eff_MID,eff_IN,n
run_32,meshscan_m00V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,450,750,0.733881,0.576776,0.114014,282468
run_32,meshscan_m10V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,440,740,0.605418,0.459998,0.0698996,284398
run_32,meshscan_m20V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,430,730,0.455767,0.336636,0.042961,241631
run_32,meshscan_m30V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,420,720,0.310191,0.222904,0.0269073,287254
run_32,meshscan_m40V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,410,710,0.19117,0.132627,0.032761,287078
run_32,meshscan_m50V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,400,700,0.110752,0.0764267,0.0356549,286575
run_32,meshscan_m60V,2026-07-31 12:31:15,Ar/CO2/Iso 93/5/2,,390,690,0.0642332,0.0449969,0.0379226,286913
run_33,driftscan_gap150V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,450,600,0.642462,0.552202,0.0730489,285866
run_33,driftscan_gap200V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,450,650,0.693061,0.569171,0.0906851,286359
run_33,driftscan_gap250V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,450,700,0.717309,0.571922,0.105151,286612
run_33,meshscan_m100V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,350,650,0.00776486,0.00551687,0.0464254,284307
run_33,meshscan_m70V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,380,680,0.0400059,0.027872,0.0555718,281284
run_33,meshscan_m80V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,370,670,0.0242578,0.0176229,0.0529044,282965
run_33,meshscan_m90V,2026-07-31 15:21:17,Ar/CO2/Iso 93/5/2,,360,660,0.0136885,0.00966817,0.0443617,283474
run_35,driftscan_gap300V,2026-07-31 17:36:46,Ar/CO2/Iso 93/5/2,,450,750,0.739468,0.579532,0.112873,278978
run_35,driftscan_gap350V,2026-07-31 17:36:46,Ar/CO2/Iso 93/5/2,,450,800,0.740365,0.571732,0.109566,279501
run_35,driftscan_gap400V,2026-07-31 17:36:46,Ar/CO2/Iso 93/5/2,,450,850,0.735713,0.558449,0.103486,282226
run_36,operating_00,2026-07-31 18:17:25,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,450,750,0.734365,0.576669,0.174719,1146169
run_36,operating_01,2026-07-31 18:17:25,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,450,750,0.732186,0.573901,0.173005,1239330
run_36,operating_02,2026-07-31 18:17:25,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,450,750,0.733636,0.574549,0.17403,1242330
run_38,cfg_gain3.0_peaktime100,2026-07-31 23:42:07,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime100.txt,450,750,0.681591,0.517543,0.107062,820764
run_39,cfg_gain3.0_peaktime25,2026-08-01 00:21:49,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime25.txt,450,750,0.314748,0.21569,0.0168424,811289
run_40,cfg_gain3.0_peaktime50,2026-08-01 01:00:09,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime50.txt,450,750,0.52694,0.38642,0.0388323,809831
run_41,cfg_gain3.0_peaktime200,2026-08-01 01:36:26,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,450,750,0.723089,0.566133,0.155445,814083
run_42,cfg_gain3.0_peaktime200_deflt,2026-08-01 02:12:28,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450,750,0.31584,0.191882,0.0367501,827226
run_43,cfg_gain3.0_peaktime200_opt,2026-08-01 02:48:37,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450,750,0.719188,0.564306,0.152832,829499
run_45,cfg_gain4.5_peaktime100,2026-08-01 04:17:05,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime100.txt,450,750,0.823882,0.639862,0.0960092,842793
run_46,cfg_gain4.5_peaktime200,2026-08-01 04:53:31,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime200.txt,450,750,0.854028,0.668767,0.155209,847721
run_47,cfg_gain4.5_peaktime200_deflt,2026-08-01 05:29:31,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450,750,0.485886,0.32536,0.0525895,847431
run_48,cfg_gain4.5_peaktime200_opt,2026-08-01 06:05:25,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450,750,0.822061,0.614685,0.168696,848184
run_50,cfg_gain3.0_peaktime200_opt,2026-08-01 10:42:53,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200_opt.txt,450,750,0.710028,0.499462,0.145776,507811
run_51,cfg_gain3.0_peaktime200_deflt,2026-08-01 11:08:31,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200_deflt.txt,450,750,0.294482,0.15675,0.0332651,508723
run_52,cfg_gain4.5_peaktime200_opt,2026-08-01 11:32:30,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime200_opt.txt,450,750,0.817868,0.545996,0.167582,508847
run_53,cfg_gain4.5_peaktime200_deflt,2026-08-01 12:57:43,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime200_deflt.txt,450,750,0.466339,0.276644,0.0508538,370526
run_54,cfg_gain4.5_peaktime50,2026-08-01 13:30:19,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain4.5_peaktime50.txt,450,750,0.700768,0.469673,0.034958,367815
run_55,meshscan_m00V,2026-08-01 14:13:35,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,450,750,0.678214,0.474494,0.1408,50785
run_55,meshscan_m10V,2026-08-01 14:13:35,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,440,740,0.552207,0.375822,0.0880942,72738
run_55,meshscan_m20V,2026-08-01 14:13:35,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,430,730,0.407051,0.269129,0.0504628,72342
run_56,meshscan_m30V,2026-08-01 14:55:51,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,420,720,0.274162,0.179716,0.0289676,71752
run_56,meshscan_m40V,2026-08-01 14:55:51,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,410,710,0.165089,0.102851,0.0175485,72301
run_56,meshscan_m50V,2026-08-01 14:55:51,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,400,700,0.0961136,0.0616776,0.0104379,66731
run_56,meshscan_m60V,2026-08-01 14:55:51,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,390,690,0.0553322,0.0347456,,65581
run_56,meshscan_m70V,2026-08-01 14:55:51,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,380,680,0.0360701,0.0228888,,65745
run_57,driftscan_gap150V,2026-08-01 16:35:27,Ar/CO2/Iso 93/5/2,p2b-config-cern-ext_gain3.0_peaktime200.txt,450,600,0.577181,0.451439,0.0779659,67862
