run,sub,n_tracks,n_tracks_timed,P2_IN_eff,P2_IN_lo,P2_IN_hi,P2_IN_n,P2_IN_accidental,P2_IN_latency_ns,P2_IN_res_dx_mm,P2_IN_rot_deg,P2_MID_eff,P2_MID_lo,P2_MID_hi,P2_MID_n,P2_MID_accidental,P2_MID_latency_ns,P2_MID_res_dx_mm,P2_MID_rot_deg,P2_OUT_eff,P2_OUT_lo,P2_OUT_hi,P2_OUT_n,P2_OUT_accidental,P2_OUT_latency_ns,P2_OUT_res_dx_mm,P2_OUT_rot_deg
run_31,trigtest_gain3.0_peaktime200,25709,21888,0.16744,0.164902,0.170009,21769,0.000229684,195,4.8889,-59.4173,0.585383,0.582022,0.588735,21837,0.000274763,115,3.47913,-59.9654,0.742305,0.739311,0.745277,21832,0.000229022,115,3.40891,-60.068
run_32,meshscan_m00V,282468,280865,0.114014,0.113413,0.114618,279940,0.000614417,195,6.61183,-59.3937,0.576776,0.575841,0.577711,280178,0.00025341,115,3.5301,-59.8494,0.733881,0.733043,0.734716,280299,0.000356762,125,3.41788,-59.9667
run_32,meshscan_m10V,284398,282703,0.0698996,0.069419,0.0703833,281704,0.000631869,195,7.65229,-59.3154,0.459998,0.459058,0.460938,282110,0.000184325,115,3.57344,-59.8335,0.605418,0.604496,0.60634,282190,0.000329565,135,3.48691,-59.9719
run_32,meshscan_m20V,241631,239404,0.042961,0.0425459,0.04338,238821,0.000527592,175,8.88676,-59.4711,0.336636,0.335669,0.337605,239184,0.000179778,115,3.66772,-59.8582,0.455767,0.454747,0.456788,239212,0.000242463,135,3.52646,-59.9648
run_32,meshscan_m30V,287254,285360,0.0269073,0.0266038,0.0272142,284384,0.000798216,205,10.4932,-60.4826,0.222904,0.222123,0.223686,284872,0.000150945,115,3.83712,-59.9048,0.310191,0.309323,0.31106,284928,0.000178993,135,3.69377,-59.986
run_32,meshscan_m40V,287078,284606,0.032761,0.0324266,0.0330987,283630,0.025572,195,9.50852,-115.259,0.132627,0.13199,0.133266,284233,8.09195e-05,115,4.15088,-59.9866,0.19117,0.190432,0.191911,284197,0.000147785,135,3.93978,-60.0908
run_32,meshscan_m50V,286575,283753,0.0356549,0.0353059,0.0360072,282514,0.0301507,155,7.20189,-116.061,0.0764267,0.0759273,0.0769292,283304,4.94169e-05,115,4.34241,-59.8772,0.110752,0.110162,0.111345,283236,6.70819e-05,135,4.22024,-59.9712
run_32,meshscan_m60V,286913,282699,0.0379226,0.0375623,0.0382861,281310,0.0339163,195,5.34832,-118.528,0.0449969,0.0446064,0.0453905,282153,3.89859e-05,115,4.57931,-60.0473,0.0642332,0.0637713,0.0646982,282066,7.09054e-05,135,4.51071,-60.0968
run_33,driftscan_gap150V,285866,282545,0.0730489,0.0725582,0.0735425,281606,0.00254256,195,11.522,-60.686,0.552202,0.551263,0.55314,281982,0.000464569,185,3.56798,-59.8355,0.642462,0.641557,0.643366,282023,0.00115239,245,3.56842,-59.9757
run_33,driftscan_gap200V,286359,279837,0.0906851,0.0901414,0.0912318,279252,0.00121038,315,8.78489,-59.4938,0.569171,0.568232,0.570109,279366,0.000332897,135,3.54096,-59.8267,0.693061,0.692186,0.693935,279463,0.000676297,175,3.50216,-59.9554
run_33,driftscan_gap250V,286612,284313,0.105151,0.104574,0.105731,283173,0.000794567,225,7.55393,-59.3808,0.571922,0.570991,0.572852,283691,0.000292572,115,3.5244,-59.8094,0.717309,0.716461,0.718156,283766,0.000518032,135,3.44127,-60.0002
run_33,meshscan_m100V,284307,281922,0.0464254,0.0460284,0.0468257,281053,0.0427677,665,0.652276,-120.677,0.00551687,0.00537726,0.00566005,281500,7.1048e-06,115,6.34363,-60.3617,0.00776486,0.00759937,0.00793388,281396,0,125,6.10411,-60.1886
run_33,meshscan_m70V,281284,278720,0.0555718,0.0551363,0.0560105,277047,0.0532328,145,3.11512,-121.47,0.027872,0.0275597,0.0281877,278021,1.43874e-05,115,4.9397,-59.824,0.0400059,0.039634,0.0403811,277884,2.51904e-05,135,4.98075,-59.8998
run_33,meshscan_m80V,282965,281413,0.0529044,0.0524813,0.0533307,280147,0.0447301,705,2.36172,-126.002,0.0176229,0.0173746,0.0178747,280884,3.56019e-06,115,5.39378,-59.993,0.0242578,0.0239673,0.0245516,280776,3.2054e-05,135,5.22517,-60.0205
run_33,meshscan_m90V,283474,281792,0.0443617,0.043973,0.0447537,280760,0.0407287,625,1.4349,-138.821,0.00966817,0.00948363,0.00985624,281232,1.06673e-05,135,6.11663,-59.7622,0.0136885,0.0134693,0.0139112,281111,7.11463e-06,115,5.93494,-59.8568
run_35,driftscan_gap300V,278978,274464,0.112873,0.112267,0.113481,273423,0.000457167,195,6.27642,-59.264,0.579532,0.578587,0.580477,273852,0.000241006,115,3.4969,-59.8151,0.739468,0.738626,0.740307,273943,0.000375991,115,3.41014,-59.9605
run_35,driftscan_gap350V,279501,276610,0.109566,0.108971,0.110164,275724,0.000456979,175,6.23802,-59.3872,0.571732,0.570788,0.572676,276040,0.000235473,115,3.51591,-59.8214,0.740365,0.739528,0.7412,276095,0.000383926,115,3.41832,-59.9817
