run,sub,vmm_source,trigger_vmm,trigger_ch,n_dream_events,n_dream_covered,n_vmm_triggers,n_matched,match_frac_dream,match_frac_covered,vmm_unmatched_frac,drift_ppm,offset_s,residual_rms_ns,residual_med_ns,n_spills,lock_sigma,status
run_21,nominal_00,pcapng,0,44,977867,968956,1180032,41638,0.0425804,0.0429504,0.964715,-0.00391821,3.62359,1049.31,2.27247,20,6.71938,FAIL
run_24,nominal_00,pcapng,0,44,10249473,10202284,12908299,457613,0.0446475,0.044854,0.964549,0.0185108,11.1188,1048.64,-1.02698,216,6.42811,FAIL
run_24,nominal_01,pcapng,0,44,10178620,10174545,12793798,447504,0.0439651,0.0439827,0.965022,0.0181278,-4.20467,1049.92,1.4241,215,6.55764,FAIL
run_24,nominal_02,pcapng,0,44,10199188,10036831,12714905,429522,0.0421134,0.0427946,0.966219,0.0181281,-48.5745,1049.86,-0.958618,210,6.70844,FAIL
run_24,nominal_03,pcapng,0,44,10285221,10250664,12785141,456134,0.0443485,0.044498,0.964323,-0.00186985,-7.44826,1049.39,-0.508545,217,6.65386,FAIL
run_24,nominal_04,pcapng,0,44,10343341,10063596,12833342,450173,0.043523,0.0447324,0.964922,0.0188155,75.9366,1051.86,-1.25537,212,6.9746,FAIL
run_24,nominal_05,pcapng,0,44,10366243,10271190,12855955,460207,0.0443948,0.0448056,0.964203,0.0103808,-23.8656,1051.17,-2.95557,215,6.93066,FAIL
run_24,nominal_06,pcapng,0,44,9879768,9736838,12196821,433218,0.043849,0.0444927,0.964481,0.00614859,-40.6746,1052.65,1.59546,201,6.74603,FAIL
run_24,nominal_07,pcapng,0,44,8998953,8612525,11053807,385036,0.0427868,0.0447065,0.965167,0.00424012,-115.993,1051.72,-1.83447,178,7.72233,FAIL
run_25,driftscan_gap150V,none,,,896055,,0,0,0,,0,,0,,,0,0,NO-VMM
run_25,driftscan_gap200V,none,,,895155,,0,0,0,,0,,0,,,0,0,NO-VMM
run_25,driftscan_gap250V,none,,,896853,,0,0,0,,0,,0,,,0,0,NO-VMM
run_25,meshscan_m00V,pcapng,0,44,2384564,2005426,2178381,65597,0.027509,0.0327098,0.969887,-0.00743198,111.818,1060.17,-5.68063,43,6.8124,FAIL
run_25,meshscan_m100V,none,,,896513,,0,0,0,,0,,0,,,0,0,NO-VMM
run_25,meshscan_m10V,pcapng,0,44,2339876,2059654,2093659,66102,0.0282502,0.0320937,0.968428,0.0203323,-85.3837,1057.25,-5.24597,43,7.9247,FAIL
run_25,meshscan_m20V,pcapng,0,44,1640870,1545751,1211268,23444,0.0142875,0.0151667,0.980645,-0.104436,-28.6449,1060.91,-5.8923,15,6.49252,FAIL
run_25,meshscan_m30V,pcapng,0,44,1417986,1323424,969873,34214,0.0241286,0.0258526,0.964723,0.0232847,-46.6693,1069.58,10.3644,29,6.79079,FAIL
run_25,meshscan_m40V,pcapng,0,44,1125064,1038062,695967,14240,0.0126571,0.0137179,0.979539,0.0116124,-45.3465,1075.09,3.47575,12,7.10552,FAIL
run_25,meshscan_m50V,pcapng,0,44,850558,708635,645518,18417,0.0216528,0.0259894,0.971469,0.0243626,-117.556,1075.4,-6.83496,14,6.76336,FAIL
run_25,meshscan_m60V,pcapng,0,44,884142,789786,614779,21488,0.0243038,0.0272074,0.965048,0.000639207,40.0307,1062.98,-4.1185,17,6.65605,FAIL
run_25,meshscan_m70V,pcapng,0,44,883424,741926,645084,20192,0.0228565,0.0272157,0.968699,-0.0181455,-116.528,1064.49,1.23439,16,6.79951,FAIL
run_25,meshscan_m80V,pcapng,0,44,897814,822623,673230,23443,0.0261112,0.0284723,0.965178,0.0183961,38.8107,1072.66,3.81042,18,6.85108,FAIL
run_25,meshscan_m90V,pcapng,0,44,896304,845292,699024,24197,0.0269964,0.0286256,0.965385,0.00567387,4.17896,1067.22,-5.27944,18,6.44257,FAIL
run_26,driftscan_gap150V,pcapng,0,44,887850,841113,846671,45121,0.0508205,0.0536444,0.946708,0.576695,0.44346,1042.14,-3.98499,18,6.6845,FAIL
run_26,driftscan_gap200V,pcapng,0,44,888381,878607,884789,46476,0.0523154,0.0528951,0.947472,0.582715,-4.56829,967.624,-6.14954,19,6.90577,FAIL
run_26,driftscan_gap250V,pcapng,0,44,888378,823118,872897,32098,0.036131,0.0389883,0.963228,0.0191227,35.8358,1093.32,5.10709,18,6.30857,FAIL
run_26,driftscan_gap300V,pcapng,0,44,140348,140348,1874101,5426,0.038661,0.038661,0.997105,-0.111454,0.190083,1100.56,4.3064,3,6.80315,FAIL
run_26,driftscan_gap350V,pcapng,0,44,2349946,2065293,2345256,80098,0.034085,0.0387829,0.965847,0.0357094,-86.7658,1098.97,1.16809,45,6.89344,FAIL
run_26,driftscan_gap400V,pcapng,0,44,2017575,1920575,2017400,67616,0.0335135,0.0352061,0.966484,0.0162057,-30.8193,1097.56,-0.679129,38,6.28617,FAIL
