station,gas,mesh,drift,n_captures,sigma_ns,mu_ns,contrast,eff
P2_IN,Ar/CF4/Iso 88/10/2,350.0,650.0,6,10.45,169.19,32.21,-0.0
P2_IN,Ar/CF4/Iso 88/10/2,360.0,660.0,10,20.33,207.64,46.28,0.0
P2_IN,Ar/CF4/Iso 88/10/2,370.0,670.0,14,8.79,203.11,53.31,-0.0
P2_IN,Ar/CF4/Iso 88/10/2,380.0,680.0,15,7.34,70.09,26.76,0.0
P2_IN,Ar/CF4/Iso 88/10/2,390.0,690.0,17,17.96,213.57,17.19,0.0
P2_IN,Ar/CF4/Iso 88/10/2,400.0,700.0,17,6.72,195.0,10.81,0.0
P2_IN,Ar/CF4/Iso 88/10/2,410.0,710.0,23,59.23,215.14,8.58,0.02
P2_IN,Ar/CF4/Iso 88/10/2,420.0,720.0,40,64.41,210.28,10.59,0.03
P2_IN,Ar/CF4/Iso 88/10/2,430.0,730.0,39,63.46,210.06,11.48,0.04
P2_IN,Ar/CF4/Iso 88/10/2,440.0,740.0,39,58.88,207.59,11.62,0.06
P2_IN,Ar/CF4/Iso 88/10/2,450.0,600.0,14,68.32,330.9,7.0,0.04
P2_IN,Ar/CF4/Iso 88/10/2,450.0,650.0,8,97.59,284.18,6.1,0.09
P2_IN,Ar/CF4/Iso 88/10/2,450.0,750.0,377,48.46,192.83,12.4,0.1
P2_IN,Ar/CO2/Iso 93/5/2,350.0,650.0,7,4.99,176.51,17.55,0.0
P2_IN,Ar/CO2/Iso 93/5/2,360.0,660.0,19,12.32,194.99,15.99,0.0
P2_IN,Ar/CO2/Iso 93/5/2,370.0,670.0,25,11.06,202.65,15.66,0.0
P2_IN,Ar/CO2/Iso 93/5/2,380.0,680.0,35,56.25,196.55,13.01,0.02
P2_IN,Ar/CO2/Iso 93/5/2,390.0,690.0,41,57.91,189.38,11.4,0.02
P2_IN,Ar/CO2/Iso 93/5/2,400.0,700.0,44,56.68,198.41,14.27,0.02
P2_IN,Ar/CO2/Iso 93/5/2,410.0,710.0,51,59.77,199.67,10.39,0.03
P2_IN,Ar/CO2/Iso 93/5/2,420.0,720.0,48,57.0,198.18,11.68,0.04
P2_IN,Ar/CO2/Iso 93/5/2,430.0,730.0,47,53.75,198.23,12.53,0.07
P2_IN,Ar/CO2/Iso 93/5/2,435.0,735.0,46,56.86,-79.05,10.32,0.01
P2_IN,Ar/CO2/Iso 93/5/2,440.0,590.0,1,2.36,290.65,5.56,0.0
P2_IN,Ar/CO2/Iso 93/5/2,440.0,640.0,25,109.31,292.17,5.92,0.11
P2_IN,Ar/CO2/Iso 93/5/2,440.0,690.0,34,62.82,217.02,8.77,0.09
P2_IN,Ar/CO2/Iso 93/5/2,440.0,740.0,643,43.97,181.66,14.77,0.11
P2_IN,Ar/CO2/Iso 93/5/2,440.0,790.0,34,39.15,161.87,15.88,0.1
P2_IN,Ar/CO2/Iso 93/5/2,440.0,840.0,32,35.77,151.99,17.19,0.09
P2_IN,Ar/CO2/Iso 93/5/2,450.0,600.0,2,6.49,381.4,5.16,0.0
P2_IN,Ar/CO2/Iso 93/5/2,450.0,650.0,6,67.39,298.38,6.08,0.06
P2_IN,Ar/CO2/Iso 93/5/2,450.0,700.0,16,88.3,268.16,7.71,0.15
P2_IN,Ar/CO2/Iso 93/5/2,450.0,750.0,991,56.44,202.78,12.08,0.17
P2_IN,Ar/CO2/Iso 93/5/2,450.0,800.0,16,43.88,186.69,14.85,0.18
P2_IN,Ar/CO2/Iso 93/5/2,450.0,850.0,17,37.41,171.88,16.51,0.17
P2_MID,Ar/CF4/Iso 88/10/2,350.0,650.0,13,4.76,214.97,29.34,-0.0
P2_MID,Ar/CF4/Iso 88/10/2,360.0,660.0,22,6.23,111.86,17.25,0.0
P2_MID,Ar/CF4/Iso 88/10/2,370.0,670.0,29,22.98,111.81,17.8,0.02
P2_MID,Ar/CF4/Iso 88/10/2,380.0,680.0,27,25.48,111.81,18.34,0.02
P2_MID,Ar/CF4/Iso 88/10/2,390.0,690.0,29,25.46,111.42,20.36,0.03
P2_MID,Ar/CF4/Iso 88/10/2,400.0,700.0,28,25.13,111.15,21.58,0.05
P2_MID,Ar/CF4/Iso 88/10/2,410.0,710.0,29,24.78,110.62,22.27,0.06
P2_MID,Ar/CF4/Iso 88/10/2,420.0,720.0,48,23.82,110.74,27.6,0.1
P2_MID,Ar/CF4/Iso 88/10/2,430.0,730.0,41,22.61,109.85,30.73,0.15
P2_MID,Ar/CF4/Iso 88/10/2,440.0,740.0,41,21.52,108.06,33.39,0.24
P2_MID,Ar/CF4/Iso 88/10/2,450.0,600.0,29,33.11,157.42,19.2,0.32
P2_MID,Ar/CF4/Iso 88/10/2,450.0,650.0,9,24.57,128.18,23.67,0.33
P2_MID,Ar/CF4/Iso 88/10/2,450.0,750.0,404,19.35,103.43,32.43,0.34
P2_MID,Ar/CO2/Iso 93/5/2,350.0,650.0,41,29.09,122.67,18.41,0.01
P2_MID,Ar/CO2/Iso 93/5/2,360.0,660.0,41,30.47,121.59,19.95,0.02
P2_MID,Ar/CO2/Iso 93/5/2,370.0,670.0,52,30.62,121.26,21.85,0.03
P2_MID,Ar/CO2/Iso 93/5/2,380.0,680.0,49,30.25,120.65,22.37,0.04
P2_MID,Ar/CO2/Iso 93/5/2,390.0,690.0,49,29.8,120.75,22.65,0.06
P2_MID,Ar/CO2/Iso 93/5/2,400.0,700.0,50,28.87,120.16,23.8,0.09
P2_MID,Ar/CO2/Iso 93/5/2,410.0,710.0,51,27.17,119.48,27.37,0.15
P2_MID,Ar/CO2/Iso 93/5/2,420.0,720.0,50,25.52,118.08,29.96,0.24
P2_MID,Ar/CO2/Iso 93/5/2,430.0,730.0,50,24.15,116.96,31.41,0.35
P2_MID,Ar/CO2/Iso 93/5/2,435.0,735.0,74,29.2,-110.66,9.52,0.08
P2_MID,Ar/CO2/Iso 93/5/2,440.0,740.0,51,22.9,115.91,32.06,0.47
P2_MID,Ar/CO2/Iso 93/5/2,450.0,600.0,50,37.56,171.24,15.89,0.39
