run_no,sg,snt,vmm_id,rate_on_khz,rate_off_khz,rate_on_std_khz,rate_off_std_khz,trig_rate_on_khz,n_on_bins,n_off_bins,n_good_channels
67,3.0,200,12,0.0026856840753949123,0.0002697613225818103,0.0020758417842025824,0.00014778081338955704,4.104560902139492,51788,547994,58
67,3.0,200,13,0.0015525454894271184,0.0003671160986339973,0.0012887687487924784,0.0003424623331346121,4.104560902139492,51788,547994,62
67,3.0,200,14,0.008912403559812227,0.0007925008563701688,0.0072215189223966015,0.00015301107655675084,4.104560902139492,51788,547994,63
67,3.0,200,15,0.005728904854216496,0.0008122022635523651,0.004046840191077782,0.0003592129788369048,4.104560902139492,51788,547994,61
67,3.0,200,10,0.10138931798872326,0.0018680063102880689,0.055871369150982,0.0009553756965401404,4.104560902139492,51788,547994,32
67,3.0,200,11,0.09814706109523443,0.0018990353908984407,0.036497965810651886,0.0007376635679464132,4.104560902139492,51788,547994,50
67,3.0,200,8,0.020117162010637533,0.0003798808267847886,0.010308939633634065,0.00017638964718319185,4.104560902139492,51788,547994,29
67,3.0,200,9,0.016111454390978604,0.00035219363715661116,0.0069361577511888334,0.00028337628822911403,4.104560902139492,51788,547994,50
70,3.0,100,12,0.001855285312466544,0.0001674097547773904,0.0015083798155878577,8.657657608248958e-05,4.103655094552639,14172,585596,58
70,3.0,100,13,0.0011164677282783863,0.0002188010714862542,0.0009375228350136089,0.00013715155709568543,4.103655094552639,14172,585596,62
70,3.0,100,14,0.005660614043340547,0.00019714008368302454,0.004853683750031295,0.00012052884613969062,4.103655094552639,14172,585596,63
70,3.0,100,15,0.0036090559542482754,0.0002816522418689817,0.0028100866512347842,0.00010890514134618994,4.103655094552639,14172,585596,61
70,3.0,100,10,0.06743711191081005,0.00024190098634553514,0.03550743205102753,6.975936098874521e-05,4.103655094552639,14172,585596,32
70,3.0,100,11,0.062476714648602875,0.00014846412885333917,0.02332163070687708,2.7933528718098056e-05,4.103655094552639,14172,585596,50
70,3.0,100,8,0.01623891695134651,7.62559382471757e-05,0.008122844289530013,9.8381839293679e-06,4.103655094552639,14172,585596,29
70,3.0,100,9,0.013139994355066329,6.478869391184367e-05,0.005560014128403609,1.1604112596845773e-05,4.103655094552639,14172,585596,50
73,3.0,50,12,0.0015292292719603824,0.000499918988720769,0.0005798581549640086,0.00034068199632691833,4.114809720311784,98145,501633,58
73,3.0,50,13,0.0013597392929158472,0.0007587798893973573,0.00034692696841465614,0.00045054823980193205,4.114809720311784,98145,501633,62
73,3.0,50,14,0.0030317953594737944,0.00032348318645272794,0.002170062594777652,0.00019190826464971584,4.114809720311784,98145,501633,63
73,3.0,50,15,0.0022066714605105025,0.0003571613797860777,0.0013595938486622577,0.00038315026211131086,4.114809720311784,98145,501633,61
73,3.0,50,10,0.07311917316215803,0.0003933403504155428,0.03906630786449802,4.744346741375205e-05,4.114809720311784,98145,501633,32
73,3.0,50,11,0.06716837332518213,0.0003113830230467294,0.025301079265186162,0.0003696290357525643,4.114809720311784,98145,501633,50
73,3.0,50,8,0.011137637661377167,0.0001716462997367838,0.0052723976429465205,2.2488923438132607e-05,4.114809720311784,98145,501633,29
